Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;217.0;373.6;451.5;580.3;None;
Other Revenues;0.3;0.8;2.9;0.8;None;
TOTAL REVENUES;217.3;374.4;454.4;581.1;None;
Cost of Goods Sold;57.8;63.6;87.9;102.1;None;
GROSS PROFIT;159.5;310.8;366.5;479.0;None;
Selling General & Admin Expenses Total;13.8;14.2;17.5;18.4;None;
Depreciation & Amortization Total;258.9;102.1;125.1;97.5;None;
Other Operating Expenses;25.6;58.5;38.0;37.4;None;
OTHER OPERATING EXPENSES TOTAL;298.3;174.8;180.6;153.4;None;
OPERATING INCOME;-138.9;135.9;185.9;325.7;None;
Interest Expense;-32.5;-40.3;-38.4;-47.7;None;
Interest and Investment Income;4.0;3.2;0.5;1.0;None;
NET INTEREST EXPENSE;-28.4;-37.1;-37.8;-46.7;None;
Income (Loss) on Equity Investments;4.5;8.9;-5.2;-25.1;None;
Currency Exchange Gains (Loss);54.8;22.2;1.4;-19.2;None;
Other Non-Operating Income (Expenses);-7.3;-1.9;-6.0;-1.3;None;
EBT EXCLUDING UNUSUAL ITEMS;-115.3;128.0;138.3;233.4;None;
Gain (Loss) on Sale of Investments;--;--;--;-19.7;None;
Gain (Loss) on Sale of Assets;0.0;122.1;0.0;-13.3;None;
Other Unusual Items Total;--;--;-0.4;--;None;
EBT INCLUDING UNUSUAL ITEMS;-115.3;250.1;137.9;200.4;None;
Income Tax Expense;44.7;98.2;97.0;135.3;None;
Minority Interest in Earnings;--;--;0.2;0.2;None;
Earnings from Continuing Operations;-160.0;151.9;40.8;65.1;None;
EARNINGS FROM DISCOUNTINUED OPERATIONS;21.2;12.6;--;-2.6;None;
NET INCOME;-138.8;164.6;41.0;62.8;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;-138.8;164.6;41.0;62.8;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;-160.0;151.9;41.0;65.3;None;
