Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;2292.0;2303.0;2196.0;3221.0;None;
Short-Term Investments;219.0;145.0;177.0;171.0;None;
Trading Asset Securities;66.0;57.0;56.0;68.0;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;2577.0;2505.0;2429.0;3460.0;None;
Accounts Receivable;1565.0;1878.0;1985.0;2189.0;None;
Other Receivables;590.0;872.0;931.0;963.0;None;
TOTAL RECEIVABLES;2155.0;2750.0;2916.0;3152.0;None;
Inventory;5991.0;7510.0;8080.0;8586.0;None;
Prepaid Expenses;191.0;249.0;284.0;285.0;None;
Other Current Assets;285.0;253.0;564.0;599.0;None;
TOTAL CURRENT ASSETS;11199.0;13267.0;14273.0;16082.0;None;
Gross Property Plant and Equipment;--;--;--;16062.0;None;
Accumulated Depreciation;--;--;--;-6460.0;None;
NET PROPERTY PLANT AND EQUIPMENT;6733.0;8017.0;8769.0;9602.0;None;
Goodwill;5027.0;6957.0;7806.0;9959.0;None;
Long-Term Investments;4155.0;6265.0;6298.0;7299.0;None;
Loans Receivable Long Term;110.0;125.0;115.0;123.0;None;
Deferred Tax Assets Long Term;668.0;760.0;954.0;909.0;None;
Other Intangibles;9104.0;11482.0;11510.0;11458.0;None;
Other Long-Term Assets;168.0;240.0;273.0;242.0;None;
TOTAL ASSETS;37164.0;47113.0;49998.0;55674.0;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;2298.0;2952.0;3134.0;3308.0;None;
Accrued Expenses;1085.0;1337.0;1393.0;1502.0;None;
Short-Term Borrowings;823.0;2108.0;1740.0;3094.0;None;
Current Portion of Long-Term Debt/Capital Lease;1035.0;1036.0;1244.0;1603.0;None;
Current Portion of Capital Lease Obligations;17.0;19.0;16.0;14.0;None;
Current Income Taxes Payable;446.0;443.0;442.0;382.0;None;
Other Current Liabilities Total;1094.0;1427.0;1274.0;1495.0;None;
Unearned Revenue Current;279.0;291.0;255.0;316.0;None;
TOTAL CURRENT LIABILITIES;7060.0;9594.0;9482.0;11700.0;None;
Long-Term Debt;3302.0;4000.0;3715.0;4059.0;None;
Capital Leases;131.0;133.0;122.0;109.0;None;
Minority Interest;1006.0;1055.0;1084.0;1028.0;None;
Pension & Other Post-Retirement Benefits;261.0;413.0;519.0;455.0;None;
Deferred Tax Liability Non-Current;3354.0;3925.0;3960.0;3934.0;None;
Other Non-Current Liabilities;4852.0;5622.0;6692.0;7694.0;None;
TOTAL LIABILITIES;18960.0;23687.0;24490.0;27951.0;None;
Common Stock;147.0;152.0;152.0;152.0;None;
Additional Paid in Capital;1782.0;3801.0;3848.0;3849.0;None;
Retained Earnings;3032.0;3065.0;3424.0;3436.0;None;
Treasury Stock;-595.0;-482.0;-414.0;-451.0;None;
Comprehensive Income and Other;12832.0;15835.0;17414.0;19709.0;None;
TOTAL COMMON EQUITY;17198.0;22371.0;24424.0;26695.0;None;
TOTAL EQUITY;18204.0;23426.0;25508.0;27723.0;None;
TOTAL LIABILITIES AND EQUITY;37164.0;47113.0;49998.0;55674.0;None;
