Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;20320.0;23659.0;28103.0;29149.0;None;
TOTAL REVENUES;20320.0;23659.0;28103.0;29149.0;None;
Cost of Goods Sold;7184.0;8092.0;9917.0;10055.0;None;
GROSS PROFIT;13136.0;15567.0;18186.0;19094.0;None;
Selling General & Admin Expenses Total;8815.0;10304.0;12265.0;13073.0;None;
OTHER OPERATING EXPENSES TOTAL;8815.0;10304.0;12265.0;13073.0;None;
OPERATING INCOME;4321.0;5263.0;5921.0;6021.0;None;
Interest Expense;-168.0;-189.0;-164.0;-138.0;None;
Interest and Investment Income;32.0;95.0;200.0;100.0;None;
NET INTEREST EXPENSE;-136.0;-94.0;36.0;-38.0;None;
Income (Loss) on Equity Investments;7.0;6.0;4.0;7.0;None;
Currency Exchange Gains (Loss);-96.0;-105.0;-49.0;-159.0;None;
Other Non-Operating Income (Expenses);-21.0;-32.0;-32.0;-25.0;None;
EBT EXCLUDING UNUSUAL ITEMS;4075.0;5038.0;5880.0;5806.0;None;
Merger & Restructuring Charges;-32.0;-57.0;-31.0;-43.0;None;
Impairment of Goodwill;-54.0;-40.0;-24.0;-57.0;None;
Gain (Loss) on Sale of Investments;865.0;11.0;31.0;23.0;None;
Gain (Loss) on Sale of Assets;-36.0;-4.0;-4.0;7.0;None;
Other Unusual Items Total;-30.0;-30.0;-123.0;-34.0;None;
Other Unusual Items;3.0;3.0;-8.0;-3.0;None;
EBT INCLUDING UNUSUAL ITEMS;4788.0;4918.0;5729.0;5702.0;None;
Income Tax Expense;1469.0;1453.0;1820.0;1755.0;None;
Minority Interest in Earnings;-287.0;-400.0;-485.0;-511.0;None;
Earnings from Continuing Operations;3319.0;3465.0;3909.0;3947.0;None;
NET INCOME;3032.0;3065.0;3424.0;3436.0;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;3032.0;3065.0;3424.0;3436.0;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;3032.0;3065.0;3424.0;3436.0;None;
