Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;9.2;1.3;205.9;15.8;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;9.2;1.3;205.9;15.8;None;
Accounts Receivable;16.4;16.2;19.9;21.7;None;
Other Receivables;23.6;33.8;21.8;23.7;None;
TOTAL RECEIVABLES;40.0;50.0;41.6;45.4;None;
Other Current Assets;69.1;63.7;150.7;45.7;None;
TOTAL CURRENT ASSETS;118.2;114.9;398.2;107.0;None;
Gross Property Plant and Equipment;1703.1;1730.0;1529.9;1563.7;None;
Accumulated Depreciation;-98.1;-113.5;-115.1;-139.7;None;
NET PROPERTY PLANT AND EQUIPMENT;1605.0;1616.5;1414.7;1424.0;None;
Deferred Tax Assets Long Term;0.2;0.1;0.2;0.6;None;
Other Intangibles;0.0;0.1;0.6;1.0;None;
Other Long-Term Assets;11.7;13.6;15.8;8.2;None;
TOTAL ASSETS;1735.2;1750.3;1841.2;1574.6;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;9.2;17.0;25.1;21.1;None;
Accrued Expenses;4.9;6.1;10.8;6.6;None;
Short-Term Borrowings;1.0;2.4;2.5;5.3;None;
Current Portion of Capital Lease Obligations;1.8;1.9;0.5;--;None;
Current Income Taxes Payable;0.6;1.1;2.5;0.0;None;
Other Current Liabilities Total;23.5;0.7;2.2;2.5;None;
Unearned Revenue Current;13.0;13.6;10.7;7.2;None;
TOTAL CURRENT LIABILITIES;53.9;42.8;75.6;64.5;None;
Long-Term Debt;4.4;--;1003.0;747.1;None;
Capital Leases;5.2;3.3;--;--;None;
Minority Interest;0.7;0.5;0.4;0.4;None;
Pension & Other Post-Retirement Benefits;0.2;0.2;0.2;0.2;None;
Deferred Tax Liability Non-Current;0.2;0.5;0.9;0.6;None;
Other Non-Current Liabilities;23.1;23.6;23.6;21.9;None;
TOTAL LIABILITIES;87.1;70.4;1103.3;834.3;None;
Common Stock;92.0;92.0;92.0;92.0;None;
Retained Earnings;87.6;28.0;1.2;3.0;None;
Treasury Stock;-3.7;-0.1;-1.9;-3.8;None;
Comprehensive Income and Other;1471.4;1559.5;646.2;648.6;None;
TOTAL COMMON EQUITY;1647.4;1679.4;737.5;739.9;None;
TOTAL EQUITY;1648.1;1679.9;737.9;740.4;None;
TOTAL LIABILITIES AND EQUITY;1735.2;1750.3;1841.2;1574.6;None;
