Millions of Euros;2010;2011;2012;2013;Trend;
TOTAL REVENUES;149.5;160.2;159.7;149.0;None;
Cost of Goods Sold;9.2;9.4;9.0;9.6;None;
GROSS PROFIT;140.3;150.7;150.7;139.4;None;
Selling General & Admin Expenses Total;8.8;9.5;9.4;9.0;None;
Depreciation & Amortization Total;25.5;23.8;26.1;23.9;None;
Other Operating Expenses;-18.8;-20.4;8.0;9.9;None;
OTHER OPERATING EXPENSES TOTAL;-18.8;-20.4;8.1;10.0;None;
OPERATING INCOME;133.6;147.3;116.2;105.1;None;
Interest Expense;-0.2;-0.2;-28.1;-31.1;None;
Interest and Investment Income;0.4;1.1;0.9;2.1;None;
NET INTEREST EXPENSE;0.1;0.9;-27.3;-29.0;None;
Income (Loss) on Equity Investments;--;0.5;7.5;1.0;None;
Other Non-Operating Income (Expenses);0.0;0.1;-2.3;-2.2;None;
Gain (Loss) on Sale of Investments;0.0;--;0.3;0.4;None;
Gain (Loss) on Sale of Assets;--;--;53.4;51.1;None;
Other Unusual Items Total;--;--;--;-3.7;None;
Other Unusual Items;--;--;--;-3.7;None;
EBT INCLUDING UNUSUAL ITEMS;133.7;148.7;147.8;122.7;None;
Income Tax Expense;0.0;1.3;4.4;-0.7;None;
Minority Interest in Earnings;-0.2;0.0;-0.1;0.0;None;
Earnings from Continuing Operations;133.7;147.4;143.5;123.4;None;
NET INCOME;133.5;147.4;143.4;123.4;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;133.5;147.4;143.4;123.4;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;133.5;147.4;143.4;123.4;None;
