Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;1106.7;796.7;845.9;758.0;None;
Short-Term Investments;424.1;352.3;452.4;354.3;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;1530.8;1149.0;1298.3;1112.3;None;
Accounts Receivable;1288.4;1348.6;1412.8;1433.7;None;
Other Receivables;30.0;46.9;87.4;66.1;None;
TOTAL RECEIVABLES;1318.4;1395.5;1500.2;1499.8;None;
Inventory;394.9;354.1;366.7;259.2;None;
Other Current Assets;426.8;1144.7;218.7;1013.7;None;
TOTAL CURRENT ASSETS;3670.9;4043.3;3383.9;3885.0;None;
Gross Property Plant and Equipment;2214.4;2809.3;3044.1;2693.5;None;
Accumulated Depreciation;-1226.0;-1374.4;-1488.1;-1334.0;None;
NET PROPERTY PLANT AND EQUIPMENT;988.4;1434.9;1556.0;1359.5;None;
Goodwill;2961.8;2787.8;2889.1;2595.6;None;
Long-Term Investments;5413.8;5067.0;4511.6;4465.1;None;
Deferred Tax Assets Long Term;129.8;155.5;189.5;184.7;None;
Other Intangibles;1622.6;1489.4;1459.3;1229.0;None;
Other Long-Term Assets;781.8;208.5;40.6;6.2;None;
TOTAL ASSETS;15569.1;15186.4;14030.0;13725.1;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;540.9;599.8;579.3;549.2;None;
Current Portion of Long-Term Debt/Capital Lease;1000.3;661.3;551.3;1093.9;None;
Current Portion of Capital Lease Obligations;1.1;1.0;--;--;None;
Current Income Taxes Payable;87.5;90.8;85.4;83.1;None;
Other Current Liabilities Total;688.5;1510.8;938.1;1131.1;None;
Unearned Revenue Current;91.3;87.5;78.6;88.5;None;
TOTAL CURRENT LIABILITIES;2408.5;2950.2;2232.7;2945.8;None;
Long-Term Debt;9235.7;7937.3;7483.1;6751.3;None;
Capital Leases;13.5;12.6;--;--;None;
Minority Interest;508.7;604.0;617.9;522.1;None;
Pension & Other Post-Retirement Benefits;164.6;152.9;192.8;163.5;None;
Deferred Tax Liability Non-Current;580.9;596.4;590.0;470.6;None;
Other Non-Current Liabilities;273.5;239.1;239.1;336.3;None;
TOTAL LIABILITIES;12676.7;11888.5;10737.7;10667.5;None;
Common Stock;202.0;202.2;198.2;194.5;None;
Additional Paid in Capital;249.8;252.5;184.4;114.6;None;
Retained Earnings;1002.3;525.4;221.1;333.7;None;
Treasury Stock;-50.6;-130.2;-116.0;-143.0;None;
Comprehensive Income and Other;980.2;1844.0;2186.7;2035.7;None;
TOTAL COMMON EQUITY;2383.7;2693.9;2674.4;2535.5;None;
TOTAL EQUITY;2892.4;3297.9;3292.3;3057.6;None;
TOTAL LIABILITIES AND EQUITY;15569.1;15186.4;14030.0;13725.1;None;
