Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;5068.3;5953.1;6338.6;6431.8;None;
TOTAL REVENUES;5068.3;5953.1;6338.6;6431.8;None;
Cost of Goods Sold;4423.1;5207.3;5554.7;5621.0;None;
GROSS PROFIT;645.2;745.8;783.9;810.8;None;
Other Operating Expenses;83.7;89.8;92.9;100.1;None;
OTHER OPERATING EXPENSES TOTAL;83.7;89.8;92.9;100.1;None;
OPERATING INCOME;561.5;656.0;691.0;710.7;None;
Interest Expense;-520.3;-486.7;-469.0;-449.2;None;
Interest and Investment Income;23.9;21.5;24.9;22.7;None;
NET INTEREST EXPENSE;-496.4;-465.2;-444.1;-426.5;None;
Income (Loss) on Equity Investments;809.8;831.1;-329.7;346.7;None;
Currency Exchange Gains (Loss);7.9;-15.8;-6.3;-9.4;None;
Other Non-Operating Income (Expenses);51.2;-149.7;11.4;23.6;None;
EBT EXCLUDING UNUSUAL ITEMS;934.0;856.4;-77.7;645.1;None;
Impairment of Goodwill;-1.7;-86.4;-57.3;-2.0;None;
Gain (Loss) on Sale of Investments;-6.9;-0.7;--;62.4;None;
Gain (Loss) on Sale of Assets;--;2.4;7.1;-0.7;None;
Other Unusual Items Total;-0.4;-15.4;-120.6;-36.9;None;
Legal Settlements;--;-6.7;-6.0;-5.8;None;
Other Unusual Items;-0.4;-8.7;-25.5;-21.6;None;
EBT INCLUDING UNUSUAL ITEMS;925.0;756.3;-248.5;667.9;None;
Income Tax Expense;124.5;138.2;135.8;189.6;None;
Minority Interest in Earnings;-141.6;-122.1;-115.9;-156.3;None;
Earnings from Continuing Operations;800.5;618.1;-384.3;478.3;None;
EARNINGS FROM DISCOUNTINUED OPERATIONS;343.4;29.4;721.3;11.7;None;
NET INCOME;1002.3;525.4;221.1;333.7;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;1002.3;525.4;221.1;333.7;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;658.9;496.0;-500.2;322.0;None;
