Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;1590.0;1593.0;1858.0;1563.0;None;
Short-Term Investments;843.0;333.0;292.0;486.0;None;
Trading Asset Securities;--;--;3.0;10.0;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;2433.0;1926.0;2153.0;2059.0;None;
Accounts Receivable;2839.0;3075.0;2802.0;2517.0;None;
Notes Receivable;35.0;26.0;56.0;43.0;None;
Other Receivables;341.0;343.0;329.0;359.0;None;
TOTAL RECEIVABLES;3215.0;3444.0;3187.0;2919.0;None;
Inventory;3770.0;4602.0;4417.0;3979.0;None;
Other Current Assets;247.0;346.0;397.0;373.0;None;
TOTAL CURRENT ASSETS;9665.0;10318.0;10154.0;9330.0;None;
Gross Property Plant and Equipment;18492.0;19777.0;20964.0;21633.0;None;
Accumulated Depreciation;-11299.0;-11888.0;-12385.0;-12678.0;None;
NET PROPERTY PLANT AND EQUIPMENT;7193.0;7889.0;8579.0;8955.0;None;
Goodwill;416.0;415.0;414.0;388.0;None;
Long-Term Investments;634.0;382.0;430.0;379.0;None;
Loans Receivable Long Term;136.0;140.0;71.0;66.0;None;
Deferred Tax Assets Long Term;1175.0;1352.0;1508.0;1054.0;None;
Other Intangibles;360.0;390.0;403.0;451.0;None;
Other Long-Term Assets;--;2.0;1.0;59.0;None;
TOTAL ASSETS;19579.0;20888.0;21560.0;20682.0;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;1813.0;2024.0;1991.0;1970.0;None;
Accrued Expenses;895.0;951.0;922.0;835.0;None;
Short-Term Borrowings;--;--;391.0;194.0;None;
Current Portion of Long-Term Debt/Capital Lease;896.0;1330.0;862.0;646.0;None;
Current Portion of Capital Lease Obligations;16.0;11.0;11.0;10.0;None;
Current Income Taxes Payable;120.0;91.0;97.0;87.0;None;
Other Current Liabilities Total;1121.0;1205.0;1174.0;1125.0;None;
TOTAL CURRENT LIABILITIES;4845.0;5601.0;5437.0;4857.0;None;
Long-Term Debt;3175.0;2385.0;1951.0;1398.0;None;
Capital Leases;76.0;73.0;61.0;49.0;None;
Minority Interest;3.0;2.0;2.0;6.0;None;
Unearned Revenue Non-Current;280.0;258.0;--;--;None;
Pension & Other Post-Retirement Benefits;3030.0;3825.0;4623.0;3895.0;None;
Deferred Tax Liability Non-Current;45.0;79.0;87.0;43.0;None;
Other Non-Current Liabilities;658.0;566.0;866.0;1184.0;None;
TOTAL LIABILITIES;12109.0;12787.0;13025.0;11426.0;None;
Common Stock;353.0;360.0;365.0;372.0;None;
Additional Paid in Capital;3215.0;3396.0;3508.0;3641.0;None;
Retained Earnings;3380.0;4040.0;4530.0;5479.0;None;
Comprehensive Income and Other;519.0;303.0;130.0;-242.0;None;
TOTAL COMMON EQUITY;7467.0;8099.0;8533.0;9250.0;None;
TOTAL EQUITY;7470.0;8101.0;8535.0;9256.0;None;
TOTAL LIABILITIES AND EQUITY;19579.0;20888.0;21560.0;20682.0;None;
