Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;17891.0;20719.0;21474.0;20247.0;None;
TOTAL REVENUES;17891.0;20719.0;21474.0;20247.0;None;
Cost of Goods Sold;12387.0;14821.0;14764.0;13841.0;None;
GROSS PROFIT;5504.0;5898.0;6710.0;6406.0;None;
Selling General & Admin Expenses Total;3089.0;3334.0;3718.0;3658.0;None;
R&D Expenses;542.0;592.0;622.0;643.0;None;
Other Operating Expenses;106.0;54.0;37.0;46.0;None;
OTHER OPERATING EXPENSES TOTAL;3737.0;3980.0;4377.0;4347.0;None;
OPERATING INCOME;1767.0;1918.0;2333.0;2059.0;None;
Interest Expense;-222.0;-233.0;-167.0;-114.0;None;
Interest and Investment Income;10.0;21.0;22.0;11.0;None;
NET INTEREST EXPENSE;-212.0;-212.0;-145.0;-103.0;None;
Income (Loss) on Equity Investments;29.0;21.0;15.0;-1.0;None;
Currency Exchange Gains (Loss);--;-13.0;--;--;None;
Other Non-Operating Income (Expenses);-14.0;-1.0;-32.0;5.0;None;
EBT EXCLUDING UNUSUAL ITEMS;1570.0;1713.0;2171.0;1960.0;None;
Merger & Restructuring Charges;-11.0;2.0;-66.0;-245.0;None;
Gain (Loss) on Sale of Investments;--;256.0;--;--;None;
Gain (Loss) on Sale of Assets;5.0;14.0;--;--;None;
Other Unusual Items Total;-10.0;11.0;82.0;-13.0;None;
Other Unusual Items;--;--;97.0;-11.0;None;
EBT INCLUDING UNUSUAL ITEMS;1554.0;1996.0;2187.0;1702.0;None;
Income Tax Expense;468.0;534.0;696.0;575.0;None;
Minority Interest in Earnings;-1.0;--;-1.0;--;None;
Earnings from Continuing Operations;1086.0;1462.0;1491.0;1127.0;None;
NET INCOME;1085.0;1462.0;1490.0;1127.0;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;1073.0;1452.0;1480.0;1120.0;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;1073.0;1452.0;1480.0;1120.0;None;
