Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;616.0;654.0;648.0;1748.0;None;
Short-Term Investments;106.0;83.0;55.0;36.0;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;722.0;737.0;703.0;1784.0;None;
Accounts Receivable;1291.0;1365.0;1255.0;1239.0;None;
Notes Receivable;60.0;57.0;31.0;11.0;None;
Other Receivables;589.0;546.0;670.0;669.0;None;
TOTAL RECEIVABLES;1940.0;1968.0;1956.0;1919.0;None;
Inventory;523.0;542.0;581.0;559.0;None;
Prepaid Expenses;185.0;229.0;269.0;306.0;None;
Other Current Assets;1144.0;55.0;41.0;33.0;None;
TOTAL CURRENT ASSETS;4514.0;3531.0;3550.0;4601.0;None;
Gross Property Plant and Equipment;1615.0;1671.0;1719.0;1795.0;None;
Accumulated Depreciation;-990.0;-959.0;-980.0;-1033.0;None;
NET PROPERTY PLANT AND EQUIPMENT;625.0;712.0;739.0;762.0;None;
Goodwill;2583.0;1837.0;1799.0;1619.0;None;
Long-Term Investments;2103.0;1835.0;1498.0;211.0;None;
Loans Receivable Long Term;63.0;83.0;85.0;64.0;None;
Deferred Tax Assets Long Term;167.0;184.0;236.0;190.0;None;
Other Intangibles;846.0;746.0;1016.0;885.0;None;
Other Long-Term Assets;--;--;437.0;--;None;
TOTAL ASSETS;10901.0;8928.0;9360.0;8332.0;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;1618.0;1613.0;1651.0;1645.0;None;
Accrued Expenses;234.0;237.0;243.0;245.0;None;
Current Portion of Long-Term Debt/Capital Lease;629.0;166.0;238.0;806.0;None;
Current Portion of Capital Lease Obligations;2.0;1.0;1.0;1.0;None;
Current Income Taxes Payable;438.0;480.0;460.0;433.0;None;
Other Current Liabilities Total;1184.0;765.0;663.0;687.0;None;
Unearned Revenue Current;211.0;247.0;279.0;344.0;None;
TOTAL CURRENT LIABILITIES;4314.0;3508.0;3534.0;4160.0;None;
Long-Term Debt;1953.0;1842.0;2164.0;617.0;None;
Capital Leases;--;1.0;1.0;--;None;
Minority Interest;132.0;75.0;82.0;78.0;None;
Pension & Other Post-Retirement Benefits;101.0;101.0;119.0;117.0;None;
Deferred Tax Liability Non-Current;126.0;143.0;290.0;245.0;None;
Other Non-Current Liabilities;389.0;309.0;261.0;266.0;None;
TOTAL LIABILITIES;6883.0;5904.0;6369.0;5405.0;None;
Common Stock;800.0;800.0;800.0;800.0;None;
Additional Paid in Capital;888.0;880.0;870.0;855.0;None;
Retained Earnings;163.0;-707.0;89.0;1307.0;None;
Treasury Stock;-204.0;-193.0;-179.0;-163.0;None;
Comprehensive Income and Other;2239.0;2169.0;1329.0;50.0;None;
TOTAL COMMON EQUITY;3886.0;2949.0;2909.0;2849.0;None;
TOTAL EQUITY;4018.0;3024.0;2991.0;2927.0;None;
TOTAL LIABILITIES AND EQUITY;10901.0;8928.0;9360.0;8332.0;None;
