Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;7966.0;7657.0;7370.0;7216.0;None;
Other Revenues;373.0;391.0;352.0;348.0;None;
TOTAL REVENUES;8339.0;8048.0;7722.0;7564.0;None;
Cost of Goods Sold;5194.0;5205.0;5013.0;4925.0;None;
GROSS PROFIT;3145.0;2843.0;2709.0;2639.0;None;
Selling General & Admin Expenses Total;2412.0;2202.0;2132.0;2124.0;None;
Depreciation & Amortization Total;240.0;308.0;255.0;216.0;None;
Other Operating Expenses;64.0;60.0;44.0;32.0;None;
OTHER OPERATING EXPENSES TOTAL;2716.0;2570.0;2431.0;2372.0;None;
OPERATING INCOME;429.0;273.0;278.0;267.0;None;
Interest Expense;-100.0;-112.0;-93.0;-95.0;None;
Interest and Investment Income;21.0;21.0;11.0;5.0;None;
NET INTEREST EXPENSE;-79.0;-91.0;-82.0;-90.0;None;
Income (Loss) on Equity Investments;65.0;-198.0;61.0;-40.0;None;
Currency Exchange Gains (Loss);-1.0;-2.0;4.0;-1.0;None;
Other Non-Operating Income (Expenses);-3.0;43.0;22.0;32.0;None;
EBT EXCLUDING UNUSUAL ITEMS;411.0;25.0;283.0;168.0;None;
Merger & Restructuring Charges;-90.0;-41.0;-40.0;-122.0;None;
Impairment of Goodwill;-100.0;--;-94.0;-281.0;None;
Gain (Loss) on Sale of Assets;40.0;17.0;-3.0;1671.0;None;
Other Unusual Items Total;--;-585.0;--;--;None;
EBT INCLUDING UNUSUAL ITEMS;261.0;-584.0;146.0;1436.0;None;
Income Tax Expense;67.0;105.0;40.0;117.0;None;
Minority Interest in Earnings;-31.0;-18.0;-17.0;-12.0;None;
Earnings from Continuing Operations;194.0;-689.0;106.0;1319.0;None;
NET INCOME;163.0;-707.0;89.0;1307.0;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;163.0;-707.0;89.0;1307.0;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;163.0;-707.0;89.0;1307.0;None;
