Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;376.9;328.6;315.6;287.0;None;
Short-Term Investments;0.3;0.8;0.8;--;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;377.2;329.4;316.4;287.0;None;
Accounts Receivable;254.5;292.7;271.0;246.4;None;
Notes Receivable;--;0.1;0.9;1.0;None;
Other Receivables;1.7;8.2;13.8;0.6;None;
TOTAL RECEIVABLES;256.2;301.0;285.7;248.0;None;
Inventory;29.1;29.3;23.9;11.6;None;
Other Current Assets;334.1;336.1;334.3;353.9;None;
TOTAL CURRENT ASSETS;996.6;995.8;960.3;900.5;None;
Gross Property Plant and Equipment;199.0;213.3;233.5;237.6;None;
Accumulated Depreciation;-74.2;-85.4;-97.9;-109.3;None;
NET PROPERTY PLANT AND EQUIPMENT;124.8;127.9;135.6;128.3;None;
Goodwill;76.2;74.8;66.8;63.4;None;
Long-Term Investments;11.5;23.8;24.7;20.4;None;
Loans Receivable Long Term;2.9;2.7;2.4;2.2;None;
Deferred Tax Assets Long Term;31.4;29.5;20.5;23.4;None;
Other Intangibles;94.5;95.2;83.9;80.4;None;
Other Long-Term Assets;23.4;25.5;31.7;37.0;None;
TOTAL ASSETS;1361.3;1375.2;1325.9;1255.6;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;341.9;341.1;373.8;388.7;None;
Accrued Expenses;97.5;101.0;89.4;89.4;None;
Current Portion of Long-Term Debt/Capital Lease;0.3;1.5;0.5;0.8;None;
Current Portion of Capital Lease Obligations;--;--;0.5;0.8;None;
Current Income Taxes Payable;20.8;0.3;0.8;5.3;None;
Other Current Liabilities Total;202.2;218.7;161.9;188.8;None;
TOTAL CURRENT LIABILITIES;662.7;662.6;626.4;673.0;None;
Long-Term Debt;2.0;1.4;0.9;1.6;None;
Capital Leases;--;--;0.8;0.6;None;
Minority Interest;--;0.1;0.2;0.3;None;
Pension & Other Post-Retirement Benefits;7.7;8.5;7.4;7.9;None;
Deferred Tax Liability Non-Current;--;4.0;--;--;None;
Other Non-Current Liabilities;7.1;4.8;2.6;0.5;None;
TOTAL LIABILITIES;679.5;681.3;638.1;683.6;None;
Common Stock;51.6;50.6;50.4;50.4;None;
Additional Paid in Capital;24.3;--;--;1.2;None;
Retained Earnings;157.1;149.6;140.2;112.0;None;
Treasury Stock;-8.5;-1.6;-8.8;-6.9;None;
Comprehensive Income and Other;457.3;495.2;505.8;415.0;None;
TOTAL COMMON EQUITY;681.8;693.8;687.6;571.7;None;
TOTAL EQUITY;681.8;693.9;687.8;572.0;None;
TOTAL LIABILITIES AND EQUITY;1361.3;1375.2;1325.9;1255.6;None;
