Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;1462.0;1421.3;1260.8;1265.0;None;
Other Revenues;--;--;--;-0.1;None;
TOTAL REVENUES;1462.0;1421.3;1260.8;1264.9;None;
Cost of Goods Sold;1061.9;1034.2;868.1;894.8;None;
GROSS PROFIT;400.1;387.1;392.7;370.1;None;
Depreciation & Amortization Total;89.2;82.1;90.9;108.3;None;
Other Operating Expenses;57.5;53.7;56.0;53.0;None;
OTHER OPERATING EXPENSES TOTAL;146.7;135.8;146.9;161.3;None;
OPERATING INCOME;253.4;251.3;245.8;208.8;None;
Interest Expense;-0.1;-0.1;-0.1;-0.1;None;
Interest and Investment Income;3.4;5.1;5.8;4.6;None;
NET INTEREST EXPENSE;3.3;5.0;5.7;4.5;None;
Income (Loss) on Equity Investments;0.6;-0.1;--;--;None;
Currency Exchange Gains (Loss);--;--;0.6;--;None;
Other Non-Operating Income (Expenses);11.8;7.9;1.6;8.4;None;
EBT EXCLUDING UNUSUAL ITEMS;269.1;264.1;253.7;221.7;None;
Impairment of Goodwill;--;-2.5;-11.2;--;None;
Gain (Loss) on Sale of Investments;--;-0.9;20.2;13.6;None;
Gain (Loss) on Sale of Assets;1.5;--;--;--;None;
Other Unusual Items Total;-24.9;-16.1;-14.2;-6.7;None;
Legal Settlements;3.3;-7.3;-6.4;-0.9;None;
EBT INCLUDING UNUSUAL ITEMS;245.7;244.6;248.5;228.6;None;
Income Tax Expense;88.7;94.9;92.6;97.8;None;
Minority Interest in Earnings;0.1;-0.1;--;-0.1;None;
Earnings from Continuing Operations;157.0;149.7;155.9;130.8;None;
EARNINGS FROM DISCOUNTINUED OPERATIONS;--;--;-15.7;-18.7;None;
NET INCOME;157.1;149.6;140.2;112.0;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;157.1;149.6;140.2;112.0;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;157.1;149.6;155.9;130.7;None;
