Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;21.8;14.7;29.5;15.9;None;
Short-Term Investments;--;7.8;--;--;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;21.8;22.5;29.5;15.9;None;
Accounts Receivable;83.8;82.4;68.3;67.0;None;
Other Receivables;4.5;6.3;7.1;10.8;None;
TOTAL RECEIVABLES;88.4;88.8;75.4;77.8;None;
Inventory;60.8;62.0;67.7;70.7;None;
Prepaid Expenses;--;--;1.0;1.0;None;
Other Current Assets;1.8;6.4;0.8;1.2;None;
TOTAL CURRENT ASSETS;172.8;179.7;174.3;166.5;None;
Gross Property Plant and Equipment;406.5;426.8;462.5;487.3;None;
Accumulated Depreciation;-257.3;-270.9;-295.2;-317.2;None;
NET PROPERTY PLANT AND EQUIPMENT;149.2;155.9;167.3;170.0;None;
Long-Term Investments;1.3;3.6;0.6;0.7;None;
Deferred Tax Assets Long Term;19.7;21.6;23.5;23.6;None;
Deferred Charges Long Term;7.2;7.0;8.6;16.1;None;
Other Intangibles;1.0;1.1;1.5;1.8;None;
Other Long-Term Assets;5.1;4.8;5.5;2.8;None;
TOTAL ASSETS;356.3;373.7;381.3;381.4;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;57.1;56.9;42.9;42.4;None;
Accrued Expenses;4.3;1.7;--;--;None;
Short-Term Borrowings;48.3;57.4;56.5;60.2;None;
Current Income Taxes Payable;21.0;16.3;13.4;13.4;None;
Other Current Liabilities Total;8.7;25.0;18.7;15.4;None;
Unearned Revenue Current;12.3;7.8;22.0;5.1;None;
TOTAL CURRENT LIABILITIES;151.7;165.0;153.4;136.5;None;
Long-Term Debt;59.8;55.4;47.2;36.8;None;
Capital Leases;0.2;0.1;0.1;0.2;None;
Minority Interest;1.2;1.4;1.4;1.5;None;
Pension & Other Post-Retirement Benefits;5.8;4.6;6.3;5.9;None;
Deferred Tax Liability Non-Current;1.0;1.6;1.8;2.5;None;
Other Non-Current Liabilities;1.6;3.4;1.8;1.6;None;
TOTAL LIABILITIES;220.1;230.1;210.5;183.5;None;
Common Stock;16.4;16.4;16.4;16.4;None;
Additional Paid in Capital;20.5;20.5;20.5;20.5;None;
Retained Earnings;6.7;8.5;29.2;34.6;None;
Comprehensive Income and Other;91.4;96.8;103.2;125.0;None;
TOTAL COMMON EQUITY;135.0;142.2;169.3;196.5;None;
TOTAL EQUITY;136.2;143.6;170.7;198.0;None;
TOTAL LIABILITIES AND EQUITY;356.3;373.7;381.3;381.4;None;
