Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;381.7;408.4;405.8;430.8;None;
Other Revenues;--;--;0.0;--;None;
TOTAL REVENUES;381.7;408.4;405.8;430.8;None;
Cost of Goods Sold;228.0;252.8;238.4;248.1;None;
GROSS PROFIT;153.7;155.6;167.5;182.6;None;
Selling General & Admin Expenses Total;112.0;101.6;101.4;102.2;None;
Depreciation & Amortization Total;25.4;27.2;28.7;31.0;None;
Other Operating Expenses;0.2;5.2;4.4;6.1;None;
OTHER OPERATING EXPENSES TOTAL;137.5;133.9;134.5;139.3;None;
OPERATING INCOME;16.2;21.7;32.9;43.4;None;
Interest Expense;-3.8;-4.1;-3.5;-2.4;None;
Interest and Investment Income;--;0.0;0.0;0.0;None;
NET INTEREST EXPENSE;-3.8;-4.0;-3.5;-2.4;None;
Currency Exchange Gains (Loss);-1.3;0.4;-0.3;-0.9;None;
Other Non-Operating Income (Expenses);0.1;0.0;0.2;0.1;None;
EBT EXCLUDING UNUSUAL ITEMS;11.2;18.1;29.4;40.2;None;
EBT INCLUDING UNUSUAL ITEMS;11.2;18.1;29.4;40.2;None;
Income Tax Expense;-1.6;-0.7;2.8;4.0;None;
Minority Interest in Earnings;-0.1;-0.2;-0.1;0.0;None;
Earnings from Continuing Operations;12.7;18.8;26.6;36.1;None;
EARNINGS FROM DISCOUNTINUED OPERATIONS;-6.0;-10.1;2.6;-1.5;None;
NET INCOME;6.7;8.5;29.2;34.6;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;6.7;8.5;29.2;34.6;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;12.7;18.6;26.6;36.1;None;
