Millions of US Dollars;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;6209.0;3824.0;4402.0;6072.0;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;6209.0;3824.0;4402.0;6072.0;None;
Accounts Receivable;5737.0;6452.0;5085.0;4886.0;None;
Other Receivables;--;--;1793.0;1722.0;None;
TOTAL RECEIVABLES;5737.0;6452.0;6878.0;6608.0;None;
Inventory;19569.0;21669.0;19003.0;19240.0;None;
Prepaid Expenses;4160.0;3566.0;1075.0;1208.0;None;
Restricted Cash;82.0;84.0;138.0;160.0;None;
Other Current Assets;6921.0;--;286.0;737.0;None;
TOTAL CURRENT ASSETS;42678.0;35595.0;31782.0;34025.0;None;
Gross Property Plant and Equipment;79404.0;81129.0;85968.0;86231.0;None;
Accumulated Depreciation;-25134.0;-26940.0;-32153.0;-34999.0;None;
NET PROPERTY PLANT AND EQUIPMENT;54270.0;54189.0;53815.0;51232.0;None;
Goodwill;12589.0;12471.0;8164.0;7735.0;None;
Long-Term Investments;10320.0;9172.0;8201.0;7933.0;None;
Deferred Tax Assets Long Term;6694.0;6164.0;8221.0;8938.0;None;
Other Intangibles;1784.0;1582.0;1417.0;999.0;None;
Other Long-Term Assets;2413.0;2506.0;2398.0;1446.0;None;
TOTAL ASSETS;130748.0;121679.0;113998.0;112308.0;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;13247.0;12845.0;12609.0;14156.0;None;
Accrued Expenses;6912.0;6639.0;2749.0;2554.0;None;
Short-Term Borrowings;6716.0;2769.0;732.0;545.0;None;
Current Portion of Long-Term Debt/Capital Lease;--;--;3616.0;3558.0;None;
Current Portion of Capital Lease Obligations;--;--;100.0;56.0;None;
Current Income Taxes Payable;471.0;367.0;160.0;179.0;None;
Other Current Liabilities Total;3391.0;1214.0;3810.0;4191.0;None;
Unearned Revenue Current;--;--;161.0;52.0;None;
TOTAL CURRENT LIABILITIES;30737.0;23834.0;23837.0;25235.0;None;
Long-Term Debt;19292.0;23634.0;21513.0;17520.0;None;
Capital Leases;--;--;452.0;699.0;None;
Minority Interest;3656.0;3762.0;3450.0;3380.0;None;
Pension & Other Post-Retirement Benefits;10089.0;11142.0;11628.0;9494.0;None;
Deferred Tax Liability Non-Current;3933.0;3458.0;2958.0;3115.0;None;
Other Non-Current Liabilities;3604.0;3107.0;3144.0;3072.0;None;
TOTAL LIABILITIES;67655.0;65175.0;63532.0;59135.0;None;
Common Stock;9950.0;9403.0;9403.0;10011.0;None;
Additional Paid in Capital;20198.0;19056.0;19082.0;20248.0;None;
Retained Earnings;31669.0;30710.0;26186.0;24037.0;None;
Treasury Stock;-427.0;-419.0;-414.0;-414.0;None;
Comprehensive Income and Other;-1953.0;-6008.0;-7241.0;-4089.0;None;
TOTAL COMMON EQUITY;59437.0;52742.0;47016.0;49793.0;None;
TOTAL EQUITY;63093.0;56504.0;50466.0;53173.0;None;
TOTAL LIABILITIES AND EQUITY;130748.0;121679.0;113998.0;112308.0;None;
