Millions of US Dollars;2010;2011;2012;2013;Trend;
Revenues;78025.0;93973.0;84213.0;79440.0;None;
TOTAL REVENUES;78025.0;93973.0;84213.0;79440.0;None;
Cost of Goods Sold;69269.0;83481.0;76696.0;73413.0;None;
GROSS PROFIT;8756.0;10492.0;7517.0;6027.0;None;
Selling General & Admin Expenses Total;3926.0;3867.0;3796.0;3570.0;None;
OTHER OPERATING EXPENSES TOTAL;3926.0;3867.0;3796.0;3570.0;None;
OPERATING INCOME;4830.0;6625.0;3721.0;2457.0;None;
Interest Expense;-1578.0;-1946.0;-2031.0;-1890.0;None;
Interest and Investment Income;133.0;123.0;157.0;113.0;None;
NET INTEREST EXPENSE;-1445.0;-1823.0;-1874.0;-1777.0;None;
Income (Loss) on Equity Investments;442.0;614.0;185.0;-442.0;None;
Currency Exchange Gains (Loss);-744.0;-534.0;-252.0;-763.0;None;
Other Non-Operating Income (Expenses);470.0;32.0;-95.0;-1.0;None;
EBT EXCLUDING UNUSUAL ITEMS;3553.0;4914.0;1685.0;-526.0;None;
Merger & Restructuring Charges;-78.0;-433.0;-1527.0;-830.0;None;
Impairment of Goodwill;-16.0;--;-4308.0;-4.0;None;
Other Unusual Items Total;-1523.0;-1646.0;-1225.0;-1000.0;None;
EBT INCLUDING UNUSUAL ITEMS;1936.0;2835.0;-5375.0;-2360.0;None;
Income Tax Expense;-1504.0;879.0;-1906.0;215.0;None;
Minority Interest in Earnings;-89.0;3.0;117.0;30.0;None;
Earnings from Continuing Operations;3440.0;1956.0;-3469.0;-2575.0;None;
EARNINGS FROM DISCOUNTINUED OPERATIONS;-338.0;461.0;--;--;None;
NET INCOME;3013.0;2420.0;-3352.0;-2545.0;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;3013.0;2420.0;-3367.0;-2602.0;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;3351.0;1959.0;-3367.0;-2602.0;None;
