Millions of Euros;2011;2012;2013;2014;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;136.3;171.8;158.1;186.7;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;136.3;171.8;158.1;186.7;None;
Accounts Receivable;381.4;407.8;437.1;469.6;None;
Other Receivables;56.1;52.4;50.1;46.4;None;
TOTAL RECEIVABLES;437.5;460.2;487.2;516.0;None;
Inventory;57.4;67.5;68.9;69.1;None;
Prepaid Expenses;30.9;42.7;37.1;36.1;None;
Other Current Assets;0.1;0.1;0.4;0.1;None;
TOTAL CURRENT ASSETS;662.2;742.3;751.7;808.0;None;
Gross Property Plant and Equipment;424.6;467.6;497.7;525.4;None;
Accumulated Depreciation;-289.1;-328.0;-358.9;-391.4;None;
NET PROPERTY PLANT AND EQUIPMENT;135.5;139.6;138.8;134.0;None;
Goodwill;755.0;803.8;978.6;977.3;None;
Long-Term Investments;5.4;2.3;4.5;4.4;None;
Accounts Receivable Long Term;373.5;404.1;411.6;424.2;None;
Deferred Tax Assets Long Term;11.6;12.6;9.3;9.9;None;
Deferred Charges Long Term;35.4;43.4;56.4;71.5;None;
Other Intangibles;37.2;48.3;90.4;106.3;None;
Other Long-Term Assets;39.8;46.5;44.6;43.7;None;
TOTAL ASSETS;2055.6;2242.9;2485.9;2579.3;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;65.4;75.8;71.2;73.8;None;
Accrued Expenses;--;--;1.0;1.0;None;
Short-Term Borrowings;8.4;6.8;7.5;4.4;None;
Current Portion of Long-Term Debt/Capital Lease;385.2;532.3;68.6;82.3;None;
Current Income Taxes Payable;45.5;43.6;44.2;47.8;None;
Other Current Liabilities Total;219.0;242.9;268.9;305.0;None;
Unearned Revenue Current;194.9;204.8;219.8;210.6;None;
TOTAL CURRENT LIABILITIES;918.4;1106.2;681.2;724.9;None;
Long-Term Debt;431.2;306.3;873.5;907.9;None;
Unearned Revenue Non-Current;--;--;--;6.2;None;
Pension & Other Post-Retirement Benefits;8.7;--;16.3;16.9;None;
Deferred Tax Liability Non-Current;74.2;100.7;125.8;142.1;None;
Other Non-Current Liabilities;16.9;32.9;42.5;11.7;None;
TOTAL LIABILITIES;1449.4;1546.1;1739.3;1809.7;None;
Common Stock;32.3;33.5;34.4;34.5;None;
Additional Paid in Capital;76.8;132.3;165.0;170.0;None;
Retained Earnings;156.9;154.6;161.3;164.0;None;
Treasury Stock;-20.2;-7.8;-7.6;-9.7;None;
Comprehensive Income and Other;360.4;384.2;393.5;410.8;None;
TOTAL COMMON EQUITY;606.2;696.8;746.6;769.6;None;
TOTAL EQUITY;606.2;696.8;746.6;769.6;None;
TOTAL LIABILITIES AND EQUITY;2055.6;2242.9;2485.9;2579.3;None;
