Millions of Euros;2011;2012;2013;2014;Trend;
Revenues;965.6;1002.6;1070.0;1095.5;None;
TOTAL REVENUES;965.6;1002.6;1070.0;1095.5;None;
Cost of Goods Sold;207.5;308.7;238.0;257.7;None;
GROSS PROFIT;758.1;693.9;832.0;837.8;None;
Selling General & Admin Expenses Total;479.5;407.4;532.3;544.6;None;
R&D Expenses;30.5;30.0;33.0;30.7;None;
OTHER OPERATING EXPENSES TOTAL;510.0;437.4;565.3;575.3;None;
OPERATING INCOME;248.1;256.5;266.7;262.5;None;
Interest Expense;-33.3;-32.2;-33.3;-37.9;None;
Interest and Investment Income;1.4;1.8;2.1;0.9;None;
NET INTEREST EXPENSE;-31.9;-30.4;-31.2;-37.0;None;
Income (Loss) on Equity Investments;0.6;0.6;0.4;0.7;None;
Currency Exchange Gains (Loss);-0.6;2.9;1.1;-2.1;None;
Other Non-Operating Income (Expenses);--;-0.1;-0.3;1.6;None;
EBT EXCLUDING UNUSUAL ITEMS;216.2;229.5;236.7;225.7;None;
Merger & Restructuring Charges;--;-19.5;-10.8;-5.9;None;
Gain (Loss) on Sale of Assets;--;--;-0.1;--;None;
EBT INCLUDING UNUSUAL ITEMS;216.2;210.0;225.8;219.8;None;
Income Tax Expense;59.3;55.4;64.5;55.8;None;
Minority Interest in Earnings;-1.2;-1.0;-0.7;--;None;
Earnings from Continuing Operations;156.9;154.6;161.3;164.0;None;
NET INCOME;155.7;153.6;160.6;164.0;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;155.7;153.6;160.6;164.0;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;155.7;153.6;160.6;164.0;None;
