Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;795.0;859.0;847.0;987.0;None;
Short-Term Investments;165.0;65.0;15.0;24.0;None;
Trading Asset Securities;23.0;15.0;16.0;10.0;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;983.0;939.0;878.0;1021.0;None;
Accounts Receivable;1315.0;1461.0;1415.0;1230.0;None;
Other Receivables;53.0;48.0;60.0;51.0;None;
TOTAL RECEIVABLES;1368.0;1509.0;1475.0;1281.0;None;
Inventory;1059.0;1051.0;1125.0;1031.0;None;
Other Current Assets;206.0;130.0;166.0;164.0;None;
TOTAL CURRENT ASSETS;3616.0;3629.0;3644.0;3497.0;None;
Gross Property Plant and Equipment;3314.0;3412.0;3618.0;3499.0;None;
Accumulated Depreciation;-2144.0;-2252.0;-2362.0;-2364.0;None;
NET PROPERTY PLANT AND EQUIPMENT;1170.0;1160.0;1256.0;1135.0;None;
Goodwill;378.0;386.0;509.0;414.0;None;
Long-Term Investments;42.0;44.0;46.0;43.0;None;
Loans Receivable Long Term;9.0;7.0;17.0;22.0;None;
Deferred Tax Assets Long Term;82.0;122.0;141.0;120.0;None;
Other Intangibles;193.0;184.0;238.0;223.0;None;
Other Long-Term Assets;23.0;4.0;3.0;7.0;None;
TOTAL ASSETS;5513.0;5536.0;5854.0;5461.0;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;1077.0;1051.0;1136.0;1108.0;None;
Accrued Expenses;179.0;200.0;202.0;205.0;None;
Short-Term Borrowings;229.0;251.0;30.0;19.0;None;
Current Portion of Long-Term Debt/Capital Lease;26.0;26.0;395.0;256.0;None;
Current Income Taxes Payable;27.0;51.0;28.0;25.0;None;
Other Current Liabilities Total;221.0;224.0;173.0;561.0;None;
Unearned Revenue Current;202.0;319.0;210.0;126.0;None;
TOTAL CURRENT LIABILITIES;1961.0;2122.0;2174.0;2300.0;None;
Long-Term Debt;833.0;855.0;1028.0;1049.0;None;
Minority Interest;43.0;35.0;50.0;51.0;None;
Pension & Other Post-Retirement Benefits;324.0;394.0;463.0;398.0;None;
Deferred Tax Liability Non-Current;130.0;104.0;114.0;82.0;None;
Other Non-Current Liabilities;58.0;229.0;232.0;32.0;None;
TOTAL LIABILITIES;3306.0;3704.0;4011.0;3861.0;None;
Common Stock;29.0;29.0;30.0;42.0;None;
Additional Paid in Capital;1283.0;1286.0;1301.0;1569.0;None;
Retained Earnings;566.1;308.0;275.0;-61.0;None;
Comprehensive Income and Other;285.9;174.0;187.0;-1.0;None;
TOTAL COMMON EQUITY;2164.0;1797.0;1793.0;1549.0;None;
TOTAL EQUITY;2207.0;1832.0;1843.0;1600.0;None;
TOTAL LIABILITIES AND EQUITY;5513.0;5536.0;5854.0;5461.0;None;
