Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;6179.0;6920.0;7178.0;6711.0;None;
TOTAL REVENUES;6179.0;6920.0;7178.0;6711.0;None;
Cost of Goods Sold;5439.0;6090.0;6353.0;5950.0;None;
GROSS PROFIT;740.0;830.0;825.0;761.0;None;
Selling General & Admin Expenses Total;462.0;494.0;567.0;529.0;None;
R&D Expenses;71.0;75.0;75.0;76.0;None;
Other Operating Expenses;-85.0;50.0;12.0;43.0;None;
OTHER OPERATING EXPENSES TOTAL;448.0;619.0;654.0;648.0;None;
OPERATING INCOME;292.0;211.0;171.0;113.0;None;
Interest Expense;-79.0;-83.0;-96.0;-95.0;None;
Interest and Investment Income;12.0;13.0;7.0;6.0;None;
NET INTEREST EXPENSE;-67.0;-70.0;-89.0;-89.0;None;
Income (Loss) on Equity Investments;-1.0;-2.0;--;-1.0;None;
Currency Exchange Gains (Loss);--;-17.0;6.0;8.0;None;
Other Non-Operating Income (Expenses);-21.0;-23.0;-10.0;-13.0;None;
EBT EXCLUDING UNUSUAL ITEMS;203.0;99.0;78.0;18.0;None;
Merger & Restructuring Charges;-69.0;-23.0;-27.0;-180.0;None;
Gain (Loss) on Sale of Assets;15.0;3.0;-1.0;1.0;None;
Other Unusual Items Total;-39.0;-234.0;-20.0;-130.0;None;
Other Unusual Items;4.0;-200.0;--;--;None;
EBT INCLUDING UNUSUAL ITEMS;110.0;-155.0;30.0;-291.0;None;
Income Tax Expense;26.0;31.0;5.0;39.0;None;
Minority Interest in Earnings;-2.0;8.0;2.0;-3.0;None;
Earnings from Continuing Operations;84.0;-186.0;25.0;-330.0;None;
NET INCOME;82.0;-178.0;27.0;-333.0;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;82.0;-178.0;27.0;-333.0;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;82.0;-178.0;27.0;-333.0;None;
