Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;352.1;424.2;260.6;345.9;None;
Short-Term Investments;6.0;6.4;57.8;81.5;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;358.1;430.6;318.4;427.4;None;
Accounts Receivable;446.5;526.9;513.8;512.3;None;
Other Receivables;128.0;141.0;134.3;144.9;None;
TOTAL RECEIVABLES;574.5;667.9;648.1;657.2;None;
Inventory;545.1;645.9;651.1;588.3;None;
Other Current Assets;12.2;2.0;2.0;43.7;None;
TOTAL CURRENT ASSETS;1489.9;1746.4;1619.6;1716.6;None;
Gross Property Plant and Equipment;4182.4;4645.2;4461.6;4213.5;None;
Accumulated Depreciation;-2511.2;-2884.9;-2748.7;-2663.7;None;
NET PROPERTY PLANT AND EQUIPMENT;1671.2;1760.3;1712.9;1549.8;None;
Goodwill;950.4;1019.7;1003.0;1060.5;None;
Long-Term Investments;107.7;99.9;100.0;101.8;None;
Loans Receivable Long Term;--;8.0;9.1;7.4;None;
Deferred Tax Assets Long Term;68.7;72.6;64.0;34.8;None;
Other Intangibles;34.6;37.7;48.0;72.6;None;
Other Long-Term Assets;114.9;211.8;265.0;329.4;None;
TOTAL ASSETS;4437.4;4956.4;4821.6;4872.9;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;317.1;360.0;375.2;376.3;None;
Accrued Expenses;134.3;165.0;165.7;150.9;None;
Short-Term Borrowings;4.7;12.7;19.3;5.7;None;
Current Portion of Long-Term Debt/Capital Lease;219.5;422.0;167.5;124.0;None;
Current Income Taxes Payable;25.1;9.7;21.4;26.7;None;
Other Current Liabilities Total;121.3;134.9;126.6;118.2;None;
TOTAL CURRENT LIABILITIES;822.0;1104.3;875.7;801.8;None;
Long-Term Debt;1032.1;1037.5;1011.0;1190.3;None;
Minority Interest;26.8;30.8;24.0;24.2;None;
Pension & Other Post-Retirement Benefits;169.9;231.3;317.4;227.1;None;
Deferred Tax Liability Non-Current;81.8;95.0;91.9;53.9;None;
Other Non-Current Liabilities;199.8;277.4;264.6;328.1;None;
TOTAL LIABILITIES;2305.6;2745.5;2560.6;2601.2;None;
Common Stock;151.0;150.3;150.7;152.5;None;
Additional Paid in Capital;338.4;319.6;326.2;362.1;None;
Retained Earnings;243.7;282.0;291.3;242.0;None;
Treasury Stock;-5.9;-2.1;-7.0;-6.9;None;
Comprehensive Income and Other;1377.8;1430.3;1475.8;1497.8;None;
TOTAL COMMON EQUITY;2105.0;2180.1;2237.0;2247.5;None;
TOTAL EQUITY;2131.8;2210.9;2261.0;2271.7;None;
TOTAL LIABILITIES AND EQUITY;4437.4;4956.4;4821.6;4872.9;None;
