Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;3346.7;3674.8;3884.8;3697.6;None;
TOTAL REVENUES;3346.7;3674.8;3884.8;3697.6;None;
Cost of Goods Sold;1268.3;1390.6;1477.6;1374.3;None;
GROSS PROFIT;2078.4;2284.2;2407.2;2323.3;None;
Selling General & Admin Expenses Total;1395.7;1539.8;1710.0;1638.3;None;
Depreciation & Amortization Total;213.0;210.9;214.7;207.8;None;
Other Operating Expenses;61.7;59.8;22.5;18.3;None;
OTHER OPERATING EXPENSES TOTAL;1670.4;1810.5;1947.2;1864.4;None;
OPERATING INCOME;408.0;473.7;460.0;458.9;None;
Interest Expense;-57.3;-56.1;-58.4;-51.2;None;
Interest and Investment Income;2.7;3.2;2.2;4.6;None;
NET INTEREST EXPENSE;-54.6;-52.9;-56.2;-46.6;None;
Income (Loss) on Equity Investments;5.7;10.3;3.4;5.3;None;
Currency Exchange Gains (Loss);5.6;-0.6;0.3;3.3;None;
Other Non-Operating Income (Expenses);-12.7;-3.8;-3.9;1.2;None;
EBT EXCLUDING UNUSUAL ITEMS;352.0;426.7;403.6;422.1;None;
Merger & Restructuring Charges;-40.4;-31.1;-45.0;-79.4;None;
Impairment of Goodwill;-1.0;-0.7;-31.2;--;None;
Gain (Loss) on Sale of Assets;45.8;10.9;6.5;1.3;None;
Other Unusual Items Total;-10.2;0.9;75.7;0.2;None;
Other Unusual Items;-10.2;0.9;75.7;0.2;None;
EBT INCLUDING UNUSUAL ITEMS;346.2;406.7;409.6;344.2;None;
Income Tax Expense;98.1;121.2;116.6;100.1;None;
Minority Interest in Earnings;-4.4;-3.5;-1.7;-2.1;None;
Earnings from Continuing Operations;248.1;285.5;293.0;244.1;None;
NET INCOME;243.7;282.0;291.3;242.0;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;243.7;282.0;291.3;242.0;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;243.7;282.0;291.3;242.0;None;
