Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;30.9;40.6;8.0;101.4;None;
Short-Term Investments;0.2;0.0;0.0;0.0;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;31.1;40.6;8.0;101.4;None;
Accounts Receivable;209.3;221.5;245.7;276.6;None;
Other Receivables;134.3;131.3;151.4;95.2;None;
TOTAL RECEIVABLES;343.7;352.7;397.1;371.9;None;
Inventory;33.8;39.0;45.6;49.6;None;
Prepaid Expenses;9.0;8.2;18.0;32.3;None;
Restricted Cash;--;--;4.0;4.0;None;
Other Current Assets;275.2;2.1;2.2;2.2;None;
TOTAL CURRENT ASSETS;692.9;442.6;475.0;561.3;None;
Gross Property Plant and Equipment;2528.4;2722.5;2931.7;3191.6;None;
Accumulated Depreciation;-1187.5;-1373.9;-1541.8;-1726.8;None;
NET PROPERTY PLANT AND EQUIPMENT;1340.9;1348.6;1389.9;1464.8;None;
Goodwill;1458.6;1458.6;1458.7;1483.6;None;
Long-Term Investments;8.9;11.0;10.2;10.2;None;
Deferred Tax Assets Long Term;--;--;--;132.7;None;
Deferred Charges Long Term;2.5;3.3;2.6;2.3;None;
Other Intangibles;374.3;342.7;323.6;305.1;None;
Other Long-Term Assets;2.4;0.3;0.0;--;None;
TOTAL ASSETS;3880.4;3607.2;3660.0;3959.8;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;392.2;424.3;437.4;514.0;None;
Accrued Expenses;97.4;104.3;133.2;79.4;None;
Current Portion of Long-Term Debt/Capital Lease;218.7;191.6;114.7;64.2;None;
Current Portion of Capital Lease Obligations;9.6;20.0;19.4;20.6;None;
Current Income Taxes Payable;0.2;3.4;2.6;0.1;None;
Other Current Liabilities Total;370.1;141.5;112.5;113.0;None;
Unearned Revenue Current;36.2;37.6;45.3;57.4;None;
TOTAL CURRENT LIABILITIES;1114.8;902.7;845.8;828.1;None;
Long-Term Debt;3109.0;2860.5;2873.9;2629.0;None;
Capital Leases;14.8;9.6;7.9;20.9;None;
Minority Interest;-0.3;-0.1;0.0;0.2;None;
Unearned Revenue Non-Current;101.4;94.8;105.8;97.4;None;
Other Non-Current Liabilities;107.8;111.9;114.0;130.7;None;
TOTAL LIABILITIES;4447.8;3979.5;3947.4;3706.3;None;
Common Stock;-567.0;-372.2;--;123.9;None;
Additional Paid in Capital;--;--;--;2108.0;None;
Comprehensive Income and Other;--;--;-287.4;-1978.6;None;
TOTAL COMMON EQUITY;-567.0;-372.2;-287.4;253.4;None;
TOTAL EQUITY;-567.3;-372.3;-287.3;253.6;None;
TOTAL LIABILITIES AND EQUITY;3880.4;3607.2;3660.0;3959.8;None;
