Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;1208.7;1306.9;1302.4;1314.2;None;
TOTAL REVENUES;1208.7;1306.9;1302.4;1314.2;None;
Cost of Goods Sold;514.7;564.5;546.2;545.2;None;
GROSS PROFIT;694.0;742.4;756.2;769.1;None;
Selling General & Admin Expenses Total;170.3;198.3;197.4;220.5;None;
Depreciation & Amortization Total;329.3;288.2;288.4;300.3;None;
Other Operating Expenses;6.5;-14.1;-37.0;-16.2;None;
OTHER OPERATING EXPENSES TOTAL;506.0;472.4;448.8;504.7;None;
OPERATING INCOME;188.0;270.0;307.5;264.4;None;
Interest Expense;-175.1;-177.3;-183.1;-184.8;None;
Interest and Investment Income;0.8;1.2;1.5;0.7;None;
NET INTEREST EXPENSE;-174.3;-176.1;-181.5;-184.1;None;
Income (Loss) on Equity Investments;0.4;-0.3;-0.2;-0.5;None;
Other Non-Operating Income (Expenses);-4.2;-9.9;-15.3;-146.6;None;
EBT EXCLUDING UNUSUAL ITEMS;9.9;83.7;110.4;-66.8;None;
Gain (Loss) on Sale of Assets;-3.4;-5.0;-3.6;-9.7;None;
Other Unusual Items Total;23.9;3.7;-18.0;8.4;None;
Legal Settlements;--;10.0;--;--;None;
Other Unusual Items;--;--;-14.6;12.1;None;
EBT INCLUDING UNUSUAL ITEMS;30.4;82.4;88.9;-68.1;None;
Income Tax Expense;3.8;13.4;2.5;-132.8;None;
Minority Interest in Earnings;0.2;-0.2;0.0;-0.2;None;
Earnings from Continuing Operations;26.6;69.0;86.4;64.7;None;
EARNINGS FROM DISCOUNTINUED OPERATIONS;31.2;126.1;--;--;None;
NET INCOME;58.0;194.9;86.4;64.6;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;58.0;194.9;86.4;64.6;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;26.8;68.8;86.4;64.6;None;
