Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;702.9;545.5;534.7;605.7;None;
Short-Term Investments;100.8;--;--;--;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;803.8;545.5;534.7;605.7;None;
Accounts Receivable;403.7;285.7;321.3;342.6;None;
Other Receivables;331.8;378.7;322.3;309.7;None;
TOTAL RECEIVABLES;735.5;664.5;643.6;652.3;None;
Inventory;970.5;1314.9;1286.5;1357.6;None;
Prepaid Expenses;85.7;102.2;108.7;18.8;None;
Other Current Assets;598.8;581.2;532.7;513.4;None;
TOTAL CURRENT ASSETS;3194.3;3208.3;3106.3;3147.9;None;
Gross Property Plant and Equipment;105.6;105.0;108.8;114.2;None;
Accumulated Depreciation;-79.6;-81.7;-85.1;-89.6;None;
NET PROPERTY PLANT AND EQUIPMENT;26.0;23.2;23.7;24.6;None;
Goodwill;1021.8;953.9;914.2;917.1;None;
Long-Term Investments;223.5;26.9;26.2;29.4;None;
Loans Receivable Long Term;4.6;3.0;2.1;1.8;None;
Deferred Tax Assets Long Term;47.5;20.6;6.1;4.7;None;
Other Intangibles;12.5;16.9;42.7;45.3;None;
Other Long-Term Assets;20.0;20.5;21.7;15.9;None;
TOTAL ASSETS;4550.1;4273.4;4142.9;4186.9;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;664.2;876.2;847.2;746.1;None;
Accrued Expenses;178.2;177.5;232.9;229.4;None;
Short-Term Borrowings;72.2;80.3;77.9;44.1;None;
Current Portion of Long-Term Debt/Capital Lease;244.4;144.2;145.2;110.9;None;
Current Income Taxes Payable;28.8;2.7;2.5;12.1;None;
Other Current Liabilities Total;1230.4;1268.7;1112.4;1135.2;None;
Unearned Revenue Current;14.4;14.8;20.9;23.2;None;
TOTAL CURRENT LIABILITIES;2432.5;2564.3;2439.0;2301.0;None;
Long-Term Debt;214.6;10.0;6.2;211.4;None;
Minority Interest;4.8;19.6;18.9;20.7;None;
Pension & Other Post-Retirement Benefits;17.0;19.4;23.3;25.9;None;
Deferred Tax Liability Non-Current;0.3;1.0;51.5;15.8;None;
TOTAL LIABILITIES;2664.4;2594.7;2520.1;2554.1;None;
Common Stock;260.0;262.0;264.2;267.9;None;
Additional Paid in Capital;1254.5;1150.9;1043.1;1039.3;None;
Retained Earnings;119.8;54.2;41.8;100.1;None;
Treasury Stock;-2.1;-3.3;-2.3;-2.3;None;
Comprehensive Income and Other;248.7;195.2;257.2;207.1;None;
TOTAL COMMON EQUITY;1880.8;1659.0;1604.0;1612.1;None;
TOTAL EQUITY;1885.7;1678.7;1622.9;1632.8;None;
TOTAL LIABILITIES AND EQUITY;4550.1;4273.4;4142.9;4186.9;None;
