Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;2747.2;2602.9;2831.3;2737.2;None;
TOTAL REVENUES;2747.2;2602.9;2831.3;2737.2;None;
Cost of Goods Sold;1860.1;1720.6;1948.1;1866.7;None;
GROSS PROFIT;887.1;882.3;883.2;870.5;None;
Selling General & Admin Expenses Total;638.2;635.2;638.1;627.4;None;
Depreciation & Amortization Total;13.8;10.8;13.4;14.9;None;
Other Operating Expenses;33.7;33.8;31.3;35.8;None;
OTHER OPERATING EXPENSES TOTAL;685.7;679.8;682.8;678.1;None;
OPERATING INCOME;201.4;202.4;200.4;192.4;None;
Interest Expense;-22.7;-13.5;-9.5;-13.4;None;
Interest and Investment Income;6.2;9.0;6.9;6.4;None;
NET INTEREST EXPENSE;-16.5;-4.5;-2.7;-7.0;None;
Income (Loss) on Equity Investments;43.9;24.9;0.1;-1.4;None;
Other Non-Operating Income (Expenses);-5.6;-3.0;-1.9;-0.1;None;
EBT EXCLUDING UNUSUAL ITEMS;223.1;219.8;195.9;183.9;None;
Impairment of Goodwill;-35.4;-88.9;-55.0;--;None;
EBT INCLUDING UNUSUAL ITEMS;187.7;130.9;140.9;183.9;None;
Income Tax Expense;65.6;72.8;94.2;78.0;None;
Minority Interest in Earnings;-2.4;-3.9;-4.9;-5.8;None;
Earnings from Continuing Operations;122.1;58.2;46.7;105.9;None;
NET INCOME;119.8;54.2;41.8;100.1;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;119.8;54.2;41.8;100.1;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;119.8;54.2;41.8;100.1;None;
