Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;1550.4;1652.2;1823.2;2607.3;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;1550.4;1652.2;1823.2;2607.3;None;
Accounts Receivable;2685.3;2996.2;3208.8;3253.5;None;
Other Receivables;415.4;427.2;474.0;521.5;None;
TOTAL RECEIVABLES;3100.7;3423.4;3682.8;3775.0;None;
Inventory;1810.1;2052.1;2033.8;2158.6;None;
Prepaid Expenses;208.9;231.3;234.3;235.4;None;
Other Current Assets;326.2;363.6;435.5;577.8;None;
TOTAL CURRENT ASSETS;6996.3;7722.6;8209.6;9354.1;None;
Gross Property Plant and Equipment;6813.2;7307.0;7571.2;7728.0;None;
Accumulated Depreciation;-4135.7;-4426.2;-4608.4;-4673.9;None;
NET PROPERTY PLANT AND EQUIPMENT;2677.5;2880.8;2962.8;3054.1;None;
Goodwill;5729.6;6204.6;6478.2;6457.6;None;
Long-Term Investments;5660.7;6715.3;8445.3;9124.5;None;
Loans Receivable Long Term;176.8;185.6;86.0;83.8;None;
Deferred Tax Assets Long Term;626.1;677.3;723.6;676.5;None;
Other Intangibles;2177.5;2477.3;2625.4;2547.7;None;
TOTAL ASSETS;24044.5;26863.5;29530.9;31298.3;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;3153.5;3247.7;3318.0;3346.0;None;
Accrued Expenses;986.8;1039.0;1115.7;1093.2;None;
Short-Term Borrowings;119.0;806.0;20.8;35.7;None;
Current Portion of Long-Term Debt/Capital Lease;649.8;284.8;180.3;263.2;None;
Current Portion of Capital Lease Obligations;10.9;11.6;12.5;7.3;None;
Current Income Taxes Payable;166.6;224.0;157.0;202.1;None;
Other Current Liabilities Total;1506.4;1528.4;1577.7;1654.4;None;
TOTAL CURRENT LIABILITIES;6582.1;7129.9;6369.5;6594.6;None;
Long-Term Debt;771.1;10.0;7.8;65.7;None;
Capital Leases;53.2;47.5;39.1;28.0;None;
Minority Interest;2.9;3.1;4.8;5.8;None;
Pension & Other Post-Retirement Benefits;1129.0;1145.0;1242.7;980.5;None;
Deferred Tax Liability Non-Current;462.0;678.1;764.7;804.0;None;
Other Non-Current Liabilities;181.3;226.1;181.6;182.7;None;
TOTAL LIABILITIES;9178.7;9236.6;8605.4;8655.5;None;
Common Stock;120.2;120.6;121.8;121.2;None;
Additional Paid in Capital;1148.3;1271.4;1679.0;2101.2;None;
Retained Earnings;13346.8;14796.6;16547.4;17179.0;None;
Treasury Stock;-850.9;-644.4;-904.5;-568.1;None;
Comprehensive Income and Other;1098.5;2079.6;3477.0;3803.7;None;
TOTAL COMMON EQUITY;14862.9;17623.8;20920.7;22637.0;None;
TOTAL EQUITY;14865.8;17626.9;20925.5;22642.8;None;
TOTAL LIABILITIES AND EQUITY;24044.5;26863.5;29530.9;31298.3;None;
