Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;19495.8;20343.1;22462.7;22976.6;None;
TOTAL REVENUES;19495.8;20343.1;22462.7;22976.6;None;
Cost of Goods Sold;5696.5;5851.5;6587.7;6601.8;None;
GROSS PROFIT;13799.3;14491.6;15875.0;16374.8;None;
Selling General & Admin Expenses Total;10077.7;10478.5;11387.2;11643.0;None;
R&D Expenses;664.7;720.5;790.5;857.0;None;
Other Operating Expenses;--;1.6;14.1;1.6;None;
OTHER OPERATING EXPENSES TOTAL;10742.4;11200.6;12191.8;12501.6;None;
OPERATING INCOME;3056.9;3291.0;3683.2;3873.2;None;
Interest Expense;-43.8;-48.1;-34.5;-29.1;None;
Interest and Investment Income;301.0;324.1;344.7;361.0;None;
NET INTEREST EXPENSE;257.2;276.0;310.2;331.9;None;
Other Non-Operating Income (Expenses);-9.0;-5.6;-7.8;-47.1;None;
EBT EXCLUDING UNUSUAL ITEMS;3305.1;3561.4;3985.6;4158.0;None;
Merger & Restructuring Charges;-17.9;-49.5;-110.9;-83.6;None;
Impairment of Goodwill;-30.4;-37.1;--;-35.4;None;
Gain (Loss) on Sale of Assets;0.3;1.7;4.3;--;None;
Other Unusual Items Total;-105.2;-9.8;-3.1;-14.6;None;
Legal Settlements;--;23.0;-3.1;--;None;
Other Unusual Items;-79.2;--;--;-14.6;None;
EBT INCLUDING UNUSUAL ITEMS;3151.9;3466.7;3875.9;4024.4;None;
Income Tax Expense;909.9;1025.8;1005.5;1063.0;None;
Minority Interest in Earnings;-2.3;-2.5;-2.7;-3.2;None;
Earnings from Continuing Operations;2242.0;2440.9;2870.4;2961.4;None;
NET INCOME;2239.7;2438.4;2867.7;2958.2;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;2239.7;2438.4;2867.7;2958.2;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;2239.7;2438.4;2867.7;2958.2;None;
