Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;4428.0;8044.0;8321.0;5916.0;None;
Trading Asset Securities;830.0;1014.0;144.0;314.0;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;5258.0;9058.0;8465.0;6230.0;None;
Accounts Receivable;5596.0;4905.0;4635.0;4360.0;None;
Notes Receivable;775.0;1165.0;81.0;38.0;None;
Other Receivables;1422.0;1342.0;1302.0;1034.0;None;
TOTAL RECEIVABLES;7793.0;7412.0;6018.0;5432.0;None;
Inventory;708.0;631.0;586.0;637.0;None;
Prepaid Expenses;28.0;368.0;388.0;377.0;None;
Other Current Assets;1342.0;1066.0;670.0;769.0;None;
TOTAL CURRENT ASSETS;15129.0;18535.0;16127.0;13445.0;None;
Gross Property Plant and Equipment;--;--;--;86598.0;None;
Accumulated Depreciation;--;--;--;-63441.0;None;
NET PROPERTY PLANT AND EQUIPMENT;24756.0;23634.0;23662.0;23157.0;None;
Goodwill;29033.0;27340.0;25773.0;24988.0;None;
Long-Term Investments;8719.0;8575.0;7933.0;6759.0;None;
Loans Receivable Long Term;891.0;994.0;1003.0;1837.0;None;
Deferred Tax Assets Long Term;4424.0;3551.0;3594.0;3251.0;None;
Other Intangibles;11302.0;11343.0;11818.0;11744.0;None;
Other Long-Term Assets;22.0;2111.0;70.0;652.0;None;
TOTAL ASSETS;94276.0;96083.0;89980.0;85833.0;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;8274.0;8151.0;7697.0;7540.0;None;
Accrued Expenses;3351.0;3304.0;3423.0;3209.0;None;
Short-Term Borrowings;766.0;239.0;467.0;883.0;None;
Current Portion of Long-Term Debt/Capital Lease;4143.0;7223.0;6980.0;6385.0;None;
Current Income Taxes Payable;2353.0;2625.0;2794.0;592.0;None;
Other Current Liabilities Total;2116.0;3348.0;1358.0;1573.0;None;
Unearned Revenue Current;2588.0;2322.0;2198.0;1974.0;None;
TOTAL CURRENT LIABILITIES;23591.0;27212.0;24917.0;22156.0;None;
Long-Term Debt;33822.0;34232.0;32681.0;31578.0;None;
Minority Interest;2448.0;2019.0;2078.0;1985.0;None;
Pension & Other Post-Retirement Benefits;1844.0;1711.0;2989.0;2924.0;None;
Deferred Tax Liability Non-Current;1265.0;1264.0;1102.0;954.0;None;
Other Non-Current Liabilities;2205.0;2072.0;1907.0;1887.0;None;
TOTAL LIABILITIES;62727.0;66491.0;63596.0;59499.0;None;
Common Stock;10595.0;10596.0;10596.0;10596.0;None;
Additional Paid in Capital;16777.0;16790.0;16790.0;16790.0;None;
Comprehensive Income and Other;1729.0;187.0;-3080.0;-3037.0;None;
TOTAL COMMON EQUITY;29101.0;27573.0;24306.0;24349.0;None;
TOTAL EQUITY;31549.0;29592.0;26384.0;26334.0;None;
TOTAL LIABILITIES AND EQUITY;94276.0;96083.0;89980.0;85833.0;None;
