Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;45503.0;45277.0;43515.0;40981.0;None;
TOTAL REVENUES;45503.0;45277.0;43515.0;40981.0;None;
Cost of Goods Sold;26391.0;26214.0;27176.0;24811.0;None;
GROSS PROFIT;19112.0;19063.0;16339.0;16170.0;None;
Selling General & Admin Expenses Total;2198.0;2239.0;2287.0;2173.0;None;
Depreciation & Amortization Total;6461.0;6735.0;6329.0;6052.0;None;
Other Operating Expenses;1597.0;1608.0;1683.0;1543.0;None;
OTHER OPERATING EXPENSES TOTAL;10256.0;10582.0;10299.0;9768.0;None;
OPERATING INCOME;8856.0;8481.0;6040.0;6402.0;None;
Interest Expense;-2232.0;-1891.0;-1975.0;-1747.0;None;
NET INTEREST EXPENSE;-2232.0;-1891.0;-1975.0;-1747.0;None;
Income (Loss) on Equity Investments;-14.0;-97.0;-262.0;-259.0;None;
Currency Exchange Gains (Loss);56.0;-21.0;-28.0;-18.0;None;
Other Non-Operating Income (Expenses);93.0;-196.0;197.0;-24.0;None;
EBT EXCLUDING UNUSUAL ITEMS;6759.0;6276.0;3972.0;4354.0;None;
Merger & Restructuring Charges;-680.0;-136.0;-37.0;-343.0;None;
Impairment of Goodwill;-509.0;-611.0;-1732.0;-512.0;None;
Gain (Loss) on Sale of Investments;419.0;75.0;78.0;39.0;None;
Gain (Loss) on Sale of Assets;62.0;246.0;158.0;119.0;None;
Other Unusual Items Total;-489.0;65.0;-104.0;-119.0;None;
Legal Settlements;-362.0;-197.0;115.0;5.0;None;
Other Unusual Items;--;642.0;-110.0;--;None;
EBT INCLUDING UNUSUAL ITEMS;5562.0;5915.0;2335.0;3538.0;None;
Income Tax Expense;1755.0;2087.0;1231.0;1405.0;None;
Minority Interest in Earnings;3.0;67.0;-284.0;-260.0;None;
Earnings from Continuing Operations;3807.0;3828.0;1104.0;2133.0;None;
EARNINGS FROM DISCOUNTINUED OPERATIONS;1070.0;--;--;--;None;
NET INCOME;4880.0;3895.0;820.0;1873.0;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;4880.0;3895.0;820.0;1873.0;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;3810.0;3895.0;820.0;1873.0;None;
