Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;276.5;309.5;362.3;468.4;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;276.5;309.5;362.3;468.4;None;
Accounts Receivable;96.5;101.5;100.3;80.3;None;
Other Receivables;131.5;158.1;125.5;172.3;None;
TOTAL RECEIVABLES;228.0;259.6;225.8;252.6;None;
Inventory;3.4;4.2;5.0;5.7;None;
Prepaid Expenses;17.2;22.6;8.7;7.3;None;
Other Current Assets;121.4;129.0;124.6;214.2;None;
TOTAL CURRENT ASSETS;646.5;725.0;726.4;948.2;None;
NET PROPERTY PLANT AND EQUIPMENT;1910.5;2217.1;2451.9;2561.8;None;
Goodwill;431.3;323.0;379.9;398.4;None;
Long-Term Investments;29.5;54.5;52.0;60.5;None;
Loans Receivable Long Term;10.0;10.0;10.5;12.7;None;
Deferred Tax Assets Long Term;12.8;19.2;22.5;24.1;None;
Other Intangibles;829.8;1120.6;1299.2;1432.9;None;
Other Long-Term Assets;9.6;12.4;12.7;13.1;None;
TOTAL ASSETS;3880.1;4481.8;4955.0;5451.6;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;144.0;171.7;154.7;199.4;None;
Accrued Expenses;174.6;178.0;185.9;188.3;None;
Current Portion of Long-Term Debt/Capital Lease;424.2;537.8;604.2;347.9;None;
Current Income Taxes Payable;0.5;--;19.5;9.2;None;
Other Current Liabilities Total;230.0;279.8;334.1;518.7;None;
Unearned Revenue Current;13.4;17.3;21.8;24.8;None;
TOTAL CURRENT LIABILITIES;986.8;1184.6;1320.3;1288.3;None;
Long-Term Debt;1458.7;1461.9;1669.5;1924.9;None;
Minority Interest;29.3;2.9;1.5;1.0;None;
Pension & Other Post-Retirement Benefits;18.4;24.4;28.8;34.0;None;
Deferred Tax Liability Non-Current;504.5;639.0;692.6;756.8;None;
Other Non-Current Liabilities;17.1;17.3;28.0;34.1;None;
TOTAL LIABILITIES;2985.4;3327.2;3739.2;4038.2;None;
Common Stock;52.9;66.2;66.2;69.3;None;
Retained Earnings;66.3;80.3;97.0;113.9;None;
Comprehensive Income and Other;746.1;1005.1;1051.0;1229.1;None;
TOTAL COMMON EQUITY;865.4;1151.7;1214.3;1412.4;None;
TOTAL EQUITY;894.6;1154.5;1215.8;1413.4;None;
TOTAL LIABILITIES AND EQUITY;3880.1;4481.8;4955.0;5451.6;None;
