Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;964.2;1234.1;1429.3;1607.9;None;
TOTAL REVENUES;964.2;1234.1;1429.3;1607.9;None;
Cost of Goods Sold;742.3;958.9;1104.1;1229.7;None;
GROSS PROFIT;221.9;275.2;325.2;378.2;None;
Depreciation & Amortization Total;42.5;55.1;63.5;70.7;None;
Other Operating Expenses;49.7;57.0;67.3;80.2;None;
OTHER OPERATING EXPENSES TOTAL;92.2;112.1;130.8;151.0;None;
OPERATING INCOME;129.8;163.2;194.4;227.3;None;
Interest Expense;-27.7;-45.6;-44.3;-60.1;None;
Interest and Investment Income;0.9;0.6;0.8;0.5;None;
NET INTEREST EXPENSE;-26.8;-45.0;-43.5;-59.6;None;
Income (Loss) on Equity Investments;-1.1;0.8;1.0;1.9;None;
Other Non-Operating Income (Expenses);-25.9;-19.9;-29.3;-35.9;None;
EBT EXCLUDING UNUSUAL ITEMS;75.9;99.0;122.6;133.7;None;
Merger & Restructuring Charges;--;--;--;7.0;None;
Other Unusual Items Total;21.3;26.8;26.9;34.1;None;
Other Unusual Items;21.3;26.8;26.9;34.1;None;
EBT INCLUDING UNUSUAL ITEMS;97.3;125.8;149.5;174.8;None;
Income Tax Expense;30.9;45.5;52.4;61.0;None;
Minority Interest in Earnings;--;0.0;-0.1;0.1;None;
Earnings from Continuing Operations;66.3;80.3;97.1;113.8;None;
NET INCOME;66.3;80.3;97.0;113.9;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;66.3;80.3;97.0;113.9;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;66.3;80.3;97.0;113.9;None;
