Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;193.3;204.5;328.1;549.1;None;
Trading Asset Securities;--;0.0;0.3;0.4;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;193.3;204.5;328.4;549.6;None;
Accounts Receivable;442.8;478.7;602.0;627.5;None;
Other Receivables;109.7;157.0;141.9;148.4;None;
TOTAL RECEIVABLES;552.5;635.7;743.9;775.9;None;
Inventory;273.3;261.4;271.8;282.1;None;
Other Current Assets;37.8;97.2;65.1;71.4;None;
TOTAL CURRENT ASSETS;1056.9;1198.9;1409.2;1678.9;None;
Gross Property Plant and Equipment;1865.3;2031.9;2227.4;2321.5;None;
Accumulated Depreciation;-1192.4;-1261.4;-1330.3;-1359.7;None;
NET PROPERTY PLANT AND EQUIPMENT;672.9;770.5;897.1;961.8;None;
Goodwill;362.5;343.8;335.5;334.4;None;
Long-Term Investments;15.7;6.4;9.0;9.5;None;
Accounts Receivable Long Term;8.4;7.3;6.7;5.6;None;
Loans Receivable Long Term;0.0;0.0;0.1;0.1;None;
Deferred Tax Assets Long Term;70.7;58.5;74.9;71.7;None;
Deferred Charges Long Term;135.7;177.3;215.1;220.3;None;
Other Intangibles;149.2;154.0;135.1;122.3;None;
Other Long-Term Assets;78.9;92.6;68.9;95.1;None;
TOTAL ASSETS;2550.9;2809.4;3151.7;3499.8;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;517.1;615.7;731.5;802.1;None;
Accrued Expenses;110.1;123.5;148.1;160.9;None;
Short-Term Borrowings;37.8;55.7;10.2;6.4;None;
Current Portion of Long-Term Debt/Capital Lease;96.1;183.4;207.4;96.8;None;
Current Portion of Capital Lease Obligations;6.8;7.2;9.0;6.5;None;
Current Income Taxes Payable;20.3;41.1;27.8;22.7;None;
Other Current Liabilities Total;196.0;233.7;267.6;236.2;None;
Unearned Revenue Current;112.3;120.1;175.2;190.2;None;
TOTAL CURRENT LIABILITIES;1089.7;1373.2;1567.9;1515.4;None;
Long-Term Debt;700.5;544.5;591.8;895.2;None;
Capital Leases;22.6;19.9;13.3;6.7;None;
Minority Interest;79.5;76.6;41.9;39.9;None;
Unearned Revenue Non-Current;11.7;14.7;13.2;11.9;None;
Pension & Other Post-Retirement Benefits;47.1;62.7;80.4;66.5;None;
Deferred Tax Liability Non-Current;53.5;52.1;55.9;54.2;None;
Other Non-Current Liabilities;19.2;17.6;12.2;17.7;None;
TOTAL LIABILITIES;1944.2;2084.7;2334.7;2567.5;None;
Common Stock;8.8;8.9;8.8;9.3;None;
Additional Paid in Capital;89.5;83.0;65.9;65.9;None;
Retained Earnings;465.8;608.5;757.7;903.5;None;
Treasury Stock;-37.8;-44.4;-28.6;-44.3;None;
Comprehensive Income and Other;1.0;-8.0;-28.7;-42.0;None;
TOTAL COMMON EQUITY;527.2;648.0;775.1;892.3;None;
TOTAL EQUITY;606.7;724.6;817.0;932.3;None;
TOTAL LIABILITIES AND EQUITY;2550.9;2809.4;3151.7;3499.8;None;
