Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;3249.6;4220.4;4806.2;5124.5;None;
TOTAL REVENUES;3249.6;4220.4;4806.2;5124.5;None;
Cost of Goods Sold;2755.5;3606.3;4118.7;4343.9;None;
GROSS PROFIT;494.1;614.1;687.5;780.7;None;
Selling General & Admin Expenses Total;205.5;240.8;257.0;268.1;None;
R&D Expenses;64.9;78.3;97.5;120.7;None;
Depreciation & Amortization Total;10.3;17.0;18.1;18.7;None;
Other Operating Expenses;4.9;8.4;8.6;9.7;None;
OTHER OPERATING EXPENSES TOTAL;285.5;344.5;381.3;417.1;None;
OPERATING INCOME;208.6;269.6;306.3;363.5;None;
Interest Expense;-14.0;-27.5;-26.2;-36.4;None;
NET INTEREST EXPENSE;-14.0;-27.5;-26.2;-36.4;None;
Income (Loss) on Equity Investments;-1.9;-0.6;0.2;0.9;None;
Currency Exchange Gains (Loss);0.2;-1.1;-4.5;-12.7;None;
Other Non-Operating Income (Expenses);-9.3;-13.9;-15.0;-15.1;None;
EBT EXCLUDING UNUSUAL ITEMS;183.5;226.5;260.7;300.2;None;
Merger & Restructuring Charges;-4.1;-7.5;-31.4;-17.7;None;
Impairment of Goodwill;--;43.6;-1.0;--;None;
Gain (Loss) on Sale of Investments;18.8;-10.6;--;--;None;
Gain (Loss) on Sale of Assets;0.4;-1.5;-0.2;-4.7;None;
Other Unusual Items Total;-16.2;-21.1;15.7;-0.6;None;
Legal Settlements;-9.9;1.6;7.4;-0.5;None;
Other Unusual Items;--;-4.2;--;--;None;
EBT INCLUDING UNUSUAL ITEMS;182.4;229.5;243.8;277.2;None;
Income Tax Expense;29.7;58.1;62.3;69.2;None;
Minority Interest in Earnings;-11.1;-6.7;-8.1;-14.8;None;
Earnings from Continuing Operations;152.7;171.4;181.5;208.0;None;
EARNINGS FROM DISCOUNTINUED OPERATIONS;-2.0;--;--;--;None;
NET INCOME;139.5;164.7;173.4;193.2;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;139.5;164.7;173.4;193.2;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;141.6;164.7;173.4;193.2;None;
