Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;2164.0;2174.0;1314.0;1442.0;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;2164.0;2174.0;1314.0;1442.0;None;
Accounts Receivable;5943.0;6436.0;6832.0;6982.0;None;
Notes Receivable;10.0;10.0;9.0;12.0;None;
Other Receivables;273.0;315.0;331.0;255.0;None;
TOTAL RECEIVABLES;6226.0;6761.0;7172.0;7249.0;None;
Inventory;326.0;343.0;342.0;307.0;None;
Prepaid Expenses;55.0;77.0;72.0;76.0;None;
Other Current Assets;244.0;169.0;188.0;186.0;None;
TOTAL CURRENT ASSETS;9015.0;9524.0;9088.0;9260.0;None;
Gross Property Plant and Equipment;1196.0;1223.0;1313.0;1341.0;None;
Accumulated Depreciation;-732.0;-727.0;-807.0;-828.0;None;
NET PROPERTY PLANT AND EQUIPMENT;464.0;496.0;506.0;513.0;None;
Goodwill;4278.0;5207.0;5667.0;6123.0;None;
Long-Term Investments;205.0;112.0;199.0;87.0;None;
Loans Receivable Long Term;11.0;10.0;27.0;26.0;None;
Deferred Tax Assets Long Term;75.0;82.0;97.0;127.0;None;
Other Intangibles;856.0;985.0;982.0;939.0;None;
Other Long-Term Assets;37.0;34.0;39.0;36.0;None;
TOTAL ASSETS;14941.0;16450.0;16605.0;17111.0;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;7216.0;7745.0;8249.0;8636.0;None;
Accrued Expenses;619.0;664.0;644.0;663.0;None;
Short-Term Borrowings;36.0;28.0;28.0;60.0;None;
Current Portion of Long-Term Debt/Capital Lease;259.0;811.0;354.0;267.0;None;
Current Income Taxes Payable;39.0;66.0;65.0;31.0;None;
Other Current Liabilities Total;688.0;713.0;856.0;776.0;None;
Unearned Revenue Current;242.0;306.0;319.0;345.0;None;
TOTAL CURRENT LIABILITIES;9099.0;10333.0;10515.0;10778.0;None;
Long-Term Debt;1702.0;1376.0;649.0;460.0;None;
Capital Leases;81.0;84.0;81.0;78.0;None;
Minority Interest;21.0;33.0;44.0;38.0;None;
Pension & Other Post-Retirement Benefits;--;--;--;204.0;None;
Deferred Tax Liability Non-Current;219.0;241.0;238.0;295.0;None;
Other Non-Current Liabilities;458.0;483.0;464.0;164.0;None;
TOTAL LIABILITIES;11559.0;12517.0;11947.0;11979.0;None;
Common Stock;77.0;77.0;84.0;86.0;None;
Comprehensive Income and Other;3284.0;3823.0;4530.0;5008.0;None;
TOTAL COMMON EQUITY;3361.0;3900.0;4614.0;5094.0;None;
TOTAL EQUITY;3382.0;3933.0;4658.0;5132.0;None;
TOTAL LIABILITIES AND EQUITY;14941.0;16450.0;16605.0;17111.0;None;
