Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;5418.0;5816.0;6610.0;6953.0;None;
TOTAL REVENUES;5418.0;5816.0;6610.0;6953.0;None;
Cost of Goods Sold;3353.0;3625.0;4018.0;4258.0;None;
GROSS PROFIT;2065.0;2191.0;2592.0;2695.0;None;
Selling General & Admin Expenses Total;315.0;224.0;258.0;268.0;None;
Depreciation & Amortization Total;145.0;141.0;171.0;169.0;None;
Other Operating Expenses;790.0;943.0;1086.0;1090.0;None;
OTHER OPERATING EXPENSES TOTAL;1250.0;1308.0;1515.0;1527.0;None;
OPERATING INCOME;815.0;883.0;1077.0;1168.0;None;
Interest Expense;-81.0;-89.0;-71.0;-46.0;None;
Interest and Investment Income;18.0;34.0;25.0;21.0;None;
NET INTEREST EXPENSE;-63.0;-55.0;-46.0;-25.0;None;
Income (Loss) on Equity Investments;8.0;17.0;25.0;5.0;None;
Currency Exchange Gains (Loss);-6.0;2.0;-3.0;7.0;None;
Other Non-Operating Income (Expenses);--;-1.0;-1.0;--;None;
EBT EXCLUDING UNUSUAL ITEMS;754.0;846.0;1052.0;1155.0;None;
Merger & Restructuring Charges;--;--;-68.0;-117.0;None;
Other Unusual Items Total;13.0;25.0;54.0;69.0;None;
Other Unusual Items;14.0;25.0;65.0;73.0;None;
EBT INCLUDING UNUSUAL ITEMS;767.0;871.0;1038.0;1107.0;None;
Income Tax Expense;216.0;246.0;279.0;298.0;None;
Minority Interest in Earnings;-25.0;-29.0;-27.0;-17.0;None;
Earnings from Continuing Operations;551.0;625.0;759.0;809.0;None;
NET INCOME;526.0;596.0;732.0;792.0;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;526.0;596.0;732.0;792.0;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;526.0;596.0;732.0;792.0;None;
