Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;118.4;159.6;170.0;164.0;None;
Short-Term Investments;7.4;7.0;13.0;5.0;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;125.8;166.6;183.0;169.0;None;
Accounts Receivable;482.3;450.5;480.0;498.0;None;
Notes Receivable;--;--;--;5.0;None;
Other Receivables;109.8;109.9;93.0;82.0;None;
TOTAL RECEIVABLES;592.0;560.4;573.0;585.0;None;
Inventory;0.5;0.6;--;--;None;
Prepaid Expenses;25.2;--;--;--;None;
Other Current Assets;1.5;24.1;28.0;34.0;None;
TOTAL CURRENT ASSETS;744.9;751.6;784.0;788.0;None;
Gross Property Plant and Equipment;698.9;735.7;782.0;810.0;None;
Accumulated Depreciation;-442.9;-480.5;-507.0;-523.0;None;
NET PROPERTY PLANT AND EQUIPMENT;256.0;255.2;275.0;287.0;None;
Goodwill;701.1;710.3;712.0;674.0;None;
Long-Term Investments;23.5;24.1;27.0;--;None;
Loans Receivable Long Term;--;--;--;6.0;None;
Deferred Tax Assets Long Term;29.7;32.0;36.0;31.0;None;
Other Intangibles;107.2;98.0;88.0;78.0;None;
Other Long-Term Assets;--;--;1.0;27.0;None;
TOTAL ASSETS;1862.4;1871.2;1923.0;1891.0;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;93.4;83.3;81.0;87.0;None;
Accrued Expenses;205.8;163.6;142.0;125.0;None;
Short-Term Borrowings;6.6;12.5;10.0;4.0;None;
Current Portion of Long-Term Debt/Capital Lease;81.1;96.3;66.0;52.0;None;
Current Portion of Capital Lease Obligations;5.4;4.2;2.0;1.0;None;
Current Income Taxes Payable;25.6;26.6;32.0;23.0;None;
Other Current Liabilities Total;138.1;131.4;142.0;138.0;None;
TOTAL CURRENT LIABILITIES;550.7;513.8;473.0;429.0;None;
Long-Term Debt;24.1;23.1;13.0;20.0;None;
Capital Leases;5.4;2.5;1.0;1.0;None;
Minority Interest;6.2;4.4;6.0;4.0;None;
Pension & Other Post-Retirement Benefits;4.5;4.6;6.0;8.0;None;
Deferred Tax Liability Non-Current;46.3;48.4;47.0;37.0;None;
Other Non-Current Liabilities;1.0;1.2;0.0;0.0;None;
TOTAL LIABILITIES;631.9;593.6;540.0;495.0;None;
Common Stock;141.5;141.5;142.0;143.0;None;
Additional Paid in Capital;556.2;556.2;556.0;576.0;None;
Comprehensive Income and Other;526.5;575.5;679.0;673.0;None;
TOTAL COMMON EQUITY;1224.2;1273.2;1377.0;1392.0;None;
TOTAL EQUITY;1230.5;1277.6;1383.0;1396.0;None;
TOTAL LIABILITIES AND EQUITY;1862.4;1871.2;1923.0;1891.0;None;
