Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;2058.5;2126.2;2347.0;2433.0;None;
Other Revenues;0.1;0.1;--;--;None;
TOTAL REVENUES;2058.5;2126.3;2347.0;2433.0;None;
Cost of Goods Sold;1447.2;1487.3;1651.0;1706.0;None;
GROSS PROFIT;611.3;639.0;696.0;727.0;None;
Selling General & Admin Expenses Total;346.1;368.0;396.0;411.0;None;
Depreciation & Amortization Total;92.1;96.9;101.0;107.0;None;
Other Operating Expenses;7.4;9.4;12.9;2.0;None;
OTHER OPERATING EXPENSES TOTAL;445.6;474.4;509.9;520.0;None;
OPERATING INCOME;165.7;164.6;186.1;207.0;None;
Interest Expense;-8.8;-8.3;-13.0;-9.0;None;
Interest and Investment Income;3.2;0.9;2.0;1.0;None;
NET INTEREST EXPENSE;-5.6;-7.4;-11.0;-8.0;None;
Currency Exchange Gains (Loss);2.7;8.5;9.0;1.0;None;
Other Non-Operating Income (Expenses);-0.6;-6.7;-5.0;--;None;
EBT EXCLUDING UNUSUAL ITEMS;162.2;159.0;179.1;200.0;None;
Merger & Restructuring Charges;-47.0;-12.2;6.9;-8.0;None;
Impairment of Goodwill;--;--;--;-3.0;None;
Gain (Loss) on Sale of Investments;-0.2;0.0;--;--;None;
Gain (Loss) on Sale of Assets;0.2;0.0;--;--;None;
EBT INCLUDING UNUSUAL ITEMS;115.2;146.7;186.0;189.0;None;
Income Tax Expense;41.1;51.7;57.0;60.0;None;
Minority Interest in Earnings;-2.5;-3.1;-2.0;--;None;
Earnings from Continuing Operations;74.1;95.0;129.0;129.0;None;
NET INCOME;71.6;91.9;127.0;129.0;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;71.6;91.9;127.0;129.0;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;71.6;91.9;127.0;129.0;None;
