Millions of Euros;2011;2012;2013;2014;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;80.6;190.1;186.8;186.3;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;80.6;190.1;186.8;186.3;None;
Accounts Receivable;157.9;160.5;197.2;152.8;None;
Other Receivables;34.0;37.3;28.6;37.2;None;
TOTAL RECEIVABLES;191.9;197.8;225.8;190.0;None;
Inventory;699.2;792.6;945.9;1024.6;None;
Prepaid Expenses;6.4;7.2;6.0;7.2;None;
Other Current Assets;518.6;12.6;59.6;35.2;None;
TOTAL CURRENT ASSETS;1496.7;1200.3;1424.1;1443.3;None;
Gross Property Plant and Equipment;261.7;277.4;317.0;346.2;None;
Accumulated Depreciation;-120.7;-131.0;-143.9;-155.3;None;
NET PROPERTY PLANT AND EQUIPMENT;141.0;146.4;173.1;190.9;None;
Goodwill;--;--;22.5;22.9;None;
Long-Term Investments;72.3;74.2;58.3;43.0;None;
Loans Receivable Long Term;0.1;78.1;82.2;86.7;None;
Deferred Tax Assets Long Term;30.3;44.0;47.2;31.7;None;
Other Intangibles;447.1;443.2;457.7;457.6;None;
Other Long-Term Assets;3.4;3.0;2.2;2.3;None;
TOTAL ASSETS;2190.9;1989.2;2267.3;2278.4;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;268.6;277.4;310.4;326.4;None;
Accrued Expenses;85.5;116.1;140.4;125.8;None;
Short-Term Borrowings;16.7;37.5;13.8;19.0;None;
Current Portion of Long-Term Debt/Capital Lease;18.9;16.7;63.2;34.7;None;
Current Income Taxes Payable;39.2;13.0;25.3;10.0;None;
Other Current Liabilities Total;170.3;71.7;89.8;64.6;None;
Unearned Revenue Current;1.4;13.7;10.4;7.0;None;
TOTAL CURRENT LIABILITIES;600.6;546.1;653.3;587.5;None;
Long-Term Debt;377.7;340.0;389.2;553.0;None;
Minority Interest;0.9;1.2;1.2;1.1;None;
Pension & Other Post-Retirement Benefits;20.5;21.8;25.2;26.7;None;
Deferred Tax Liability Non-Current;121.8;98.4;99.0;94.7;None;
Other Non-Current Liabilities;6.5;6.9;5.8;4.6;None;
TOTAL LIABILITIES;1127.1;1013.2;1172.5;1266.5;None;
Common Stock;79.1;79.4;81.4;77.6;None;
Additional Paid in Capital;735.7;738.2;828.6;680.9;None;
Retained Earnings;-4.7;-18.1;-16.7;-9.9;None;
Treasury Stock;-0.6;-95.8;-97.4;-13.7;None;
Comprehensive Income and Other;253.4;271.1;297.7;275.9;None;
TOTAL COMMON EQUITY;1062.9;974.8;1093.6;1010.8;None;
TOTAL EQUITY;1063.8;976.0;1094.8;1011.9;None;
TOTAL LIABILITIES AND EQUITY;2190.9;1989.2;2267.3;2278.4;None;
