Millions of Euros;2011;2012;2013;2014;Trend;
Revenues;907.8;1026.1;1193.3;1031.6;None;
TOTAL REVENUES;907.8;1026.1;1193.3;1031.6;None;
Cost of Goods Sold;389.5;396.1;456.4;414.5;None;
GROSS PROFIT;518.3;630.0;736.9;617.1;None;
Selling General & Admin Expenses Total;357.2;423.8;493.1;468.3;None;
Other Operating Expenses;-4.4;-2.3;-1.9;-0.6;None;
OTHER OPERATING EXPENSES TOTAL;352.8;421.5;491.2;467.7;None;
OPERATING INCOME;165.5;208.5;245.7;149.4;None;
Interest Expense;-27.3;-26.9;-24.8;-26.1;None;
Interest and Investment Income;1.1;3.0;7.2;8.1;None;
NET INTEREST EXPENSE;-26.2;-23.9;-17.6;-18.0;None;
Income (Loss) on Equity Investments;4.3;-0.4;-15.5;-10.9;None;
Currency Exchange Gains (Loss);1.1;-5.1;4.7;--;None;
Other Non-Operating Income (Expenses);-4.6;-6.3;-7.1;-8.2;None;
EBT EXCLUDING UNUSUAL ITEMS;140.1;172.8;210.2;112.3;None;
Merger & Restructuring Charges;--;--;-7.8;-4.0;None;
Other Unusual Items Total;-45.0;-3.8;--;-0.1;None;
EBT INCLUDING UNUSUAL ITEMS;95.1;169.0;202.4;108.2;None;
Income Tax Expense;21.7;47.3;72.0;45.8;None;
Minority Interest in Earnings;-0.1;-0.3;--;--;None;
Earnings from Continuing Operations;73.4;121.7;130.4;62.4;None;
EARNINGS FROM DISCOUNTINUED OPERATIONS;-2.8;-10.6;--;--;None;
NET INCOME;70.5;110.8;130.4;62.4;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;70.5;110.8;130.4;62.4;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;73.3;121.4;130.4;62.4;None;
