Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;1071.0;512.0;583.2;1130.2;None;
Short-Term Investments;250.6;234.1;76.4;98.9;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;1321.6;746.1;659.6;1229.1;None;
Accounts Receivable;589.7;639.9;616.3;557.0;None;
Other Receivables;804.7;840.0;751.8;688.3;None;
TOTAL RECEIVABLES;1394.3;1479.9;1368.1;1245.3;None;
Inventory;59.6;120.9;121.6;111.0;None;
Prepaid Expenses;55.1;56.2;52.6;35.9;None;
Restricted Cash;86.6;100.4;92.7;90.6;None;
Other Current Assets;1592.2;1335.9;1461.5;2418.5;None;
TOTAL CURRENT ASSETS;4509.4;3839.5;3756.2;5130.5;None;
Gross Property Plant and Equipment;1359.7;1629.1;1846.9;1644.4;None;
Accumulated Depreciation;-580.9;-754.1;-888.1;-832.5;None;
NET PROPERTY PLANT AND EQUIPMENT;778.8;875.0;958.7;811.9;None;
Goodwill;2578.1;2627.7;2668.5;2076.3;None;
Long-Term Investments;3046.2;3705.7;3461.7;1850.8;None;
Deferred Tax Assets Long Term;161.3;117.1;99.7;58.5;None;
Other Intangibles;1519.4;1709.4;1689.4;1387.1;None;
Other Long-Term Assets;1579.9;1668.2;871.7;959.5;None;
TOTAL ASSETS;14173.1;14542.5;13505.9;12274.5;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;394.5;381.0;361.9;333.4;None;
Accrued Expenses;445.4;527.6;513.1;436.8;None;
Short-Term Borrowings;230.7;59.9;195.7;145.9;None;
Current Portion of Long-Term Debt/Capital Lease;1256.6;1158.6;1174.3;1200.5;None;
Current Income Taxes Payable;48.3;86.0;48.9;57.4;None;
Other Current Liabilities Total;1046.0;1137.9;1051.9;1892.2;None;
Unearned Revenue Current;102.4;102.8;95.2;98.0;None;
TOTAL CURRENT LIABILITIES;3523.9;3453.8;3441.0;4164.3;None;
Long-Term Debt;5698.9;5771.9;5400.1;3607.1;None;
Minority Interest;335.1;438.6;123.4;155.4;None;
Pension & Other Post-Retirement Benefits;108.6;125.6;161.8;164.2;None;
Deferred Tax Liability Non-Current;533.3;565.0;532.5;445.7;None;
Other Non-Current Liabilities;366.2;765.2;671.5;447.5;None;
TOTAL LIABILITIES;10230.8;10681.5;10206.9;8828.8;None;
Common Stock;176.9;192.6;201.4;199.2;None;
Additional Paid in Capital;0.1;110.1;90.5;--;None;
Retained Earnings;3407.7;3090.8;2812.3;3144.7;None;
Treasury Stock;-73.5;-84.4;-75.8;-88.2;None;
Comprehensive Income and Other;96.0;113.3;147.2;34.7;None;
TOTAL COMMON EQUITY;3607.2;3422.4;3175.6;3290.4;None;
TOTAL EQUITY;3942.3;3861.0;3299.0;3445.8;None;
TOTAL LIABILITIES AND EQUITY;14173.1;14542.5;13505.9;12274.5;None;
