Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;3920.6;4183.2;4420.7;4333.3;None;
TOTAL REVENUES;4207.0;4201.7;4392.5;5323.6;None;
Cost of Goods Sold;1337.8;1497.8;1568.7;1473.0;None;
GROSS PROFIT;2869.2;2703.9;2823.8;3850.5;None;
Selling General & Admin Expenses Total;1884.7;1891.8;2072.7;2079.5;None;
Depreciation & Amortization Total;348.1;317.6;284.0;318.2;None;
Other Operating Expenses;49.2;30.5;62.2;99.5;None;
OTHER OPERATING EXPENSES TOTAL;2282.1;2239.9;2418.8;2497.3;None;
OPERATING INCOME;587.1;464.0;405.0;1353.3;None;
Interest Expense;-566.9;-552.0;-513.8;-409.5;None;
NET INTEREST EXPENSE;-566.9;-552.0;-513.8;-409.5;None;
Income (Loss) on Equity Investments;6.4;54.6;14.2;90.1;None;
Currency Exchange Gains (Loss);2.7;-4.9;4.6;-11.6;None;
Other Non-Operating Income (Expenses);6.2;-2.9;-13.7;-215.4;None;
EBT EXCLUDING UNUSUAL ITEMS;35.5;-41.2;-103.6;806.9;None;
Merger & Restructuring Charges;-0.2;-2.8;-7.3;-25.9;None;
Impairment of Goodwill;-85.9;-79.8;-41.5;-75.0;None;
Gain (Loss) on Sale of Investments;-2.9;-4.5;-1.4;-5.2;None;
Gain (Loss) on Sale of Assets;77.0;7.0;-55.4;-3.5;None;
Other Unusual Items Total;27.9;24.8;-15.7;15.3;None;
Legal Settlements;--;-4.8;--;--;None;
Other Unusual Items;-4.8;-11.4;--;--;None;
EBT INCLUDING UNUSUAL ITEMS;51.4;-96.5;-224.9;712.6;None;
Income Tax Expense;-29.0;6.0;44.1;46.3;None;
Minority Interest in Earnings;34.6;-8.2;70.4;-105.3;None;
Earnings from Continuing Operations;80.4;-102.5;-269.0;666.3;None;
NET INCOME;115.0;-110.7;-198.5;561.0;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;115.0;-110.7;-198.5;561.0;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;115.0;-110.7;-198.5;561.0;None;
