Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;701.0;774.0;787.0;597.0;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;701.0;774.0;787.0;597.0;None;
Accounts Receivable;944.0;1222.0;1197.0;1159.0;None;
Other Receivables;255.0;176.0;132.0;164.0;None;
TOTAL RECEIVABLES;1199.0;1398.0;1329.0;1323.0;None;
Inventory;4007.0;3875.0;4295.0;4484.0;None;
Prepaid Expenses;--;--;59.0;58.0;None;
Other Current Assets;53.0;19.0;103.0;45.0;None;
TOTAL CURRENT ASSETS;5960.0;6066.0;6573.0;6507.0;None;
Gross Property Plant and Equipment;3273.0;3268.0;3683.0;3673.0;None;
Accumulated Depreciation;-1335.0;-1355.0;-1635.0;-1600.0;None;
NET PROPERTY PLANT AND EQUIPMENT;1938.0;1913.0;2048.0;2073.0;None;
Goodwill;5393.0;4746.0;5126.0;4973.0;None;
Long-Term Investments;79.0;127.0;247.0;312.0;None;
Deferred Tax Assets Long Term;1307.0;1459.0;1965.0;1721.0;None;
Other Intangibles;12364.0;11291.0;12234.0;11780.0;None;
Other Long-Term Assets;66.0;120.0;182.0;122.0;None;
TOTAL ASSETS;27107.0;25722.0;28375.0;27488.0;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;1105.0;933.0;1526.0;1546.0;None;
Accrued Expenses;526.0;559.0;604.0;609.0;None;
Short-Term Borrowings;176.0;119.0;355.0;467.0;None;
Current Portion of Long-Term Debt/Capital Lease;1075.0;286.0;525.0;1101.0;None;
Current Income Taxes Payable;104.0;91.0;129.0;127.0;None;
Other Current Liabilities Total;990.0;964.0;574.0;567.0;None;
TOTAL CURRENT LIABILITIES;3976.0;2952.0;3713.0;4417.0;None;
Long-Term Debt;9818.0;9386.0;9296.0;7712.0;None;
Minority Interest;216.0;190.0;169.0;168.0;None;
Pension & Other Post-Retirement Benefits;408.0;348.0;367.0;355.0;None;
Deferred Tax Liability Non-Current;2500.0;2657.0;3126.0;2913.0;None;
Other Non-Current Liabilities;1067.0;883.0;901.0;740.0;None;
TOTAL LIABILITIES;17769.0;16226.0;17403.0;16137.0;None;
Common Stock;410.0;410.0;411.0;411.0;None;
Additional Paid in Capital;3022.0;3034.0;3049.0;3052.0;None;
Retained Earnings;6145.0;6855.0;1146.0;1189.0;None;
Treasury Stock;-149.0;-216.0;-254.0;-234.0;None;
Comprehensive Income and Other;-306.0;-777.0;6451.0;6765.0;None;
TOTAL COMMON EQUITY;9122.0;9306.0;10803.0;11183.0;None;
TOTAL EQUITY;9338.0;9496.0;10972.0;11351.0;None;
TOTAL LIABILITIES AND EQUITY;27107.0;25722.0;28375.0;27488.0;None;
