Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;7081.0;7643.0;8215.0;8575.0;None;
TOTAL REVENUES;7081.0;7643.0;8215.0;8575.0;None;
Cost of Goods Sold;2863.0;3033.0;3169.0;3224.0;None;
GROSS PROFIT;4218.0;4610.0;5046.0;5351.0;None;
Selling General & Admin Expenses Total;2461.0;2713.0;2935.0;3131.0;None;
Other Operating Expenses;-89.0;16.0;--;-63.0;None;
OTHER OPERATING EXPENSES TOTAL;2372.0;2729.0;2935.0;3068.0;None;
OPERATING INCOME;1846.0;1881.0;2111.0;2283.0;None;
Interest Expense;-460.0;-488.0;-521.0;-535.0;None;
Interest and Investment Income;14.0;42.0;22.0;17.0;None;
NET INTEREST EXPENSE;-446.0;-446.0;-499.0;-518.0;None;
Income (Loss) on Equity Investments;1.0;2.0;--;1.0;None;
Currency Exchange Gains (Loss);3.0;30.0;-30.0;-15.0;None;
Other Non-Operating Income (Expenses);-26.0;-32.0;-17.0;4.0;None;
EBT EXCLUDING UNUSUAL ITEMS;1378.0;1435.0;1565.0;1755.0;None;
Merger & Restructuring Charges;-44.0;-17.0;-30.0;-46.0;None;
Gain (Loss) on Sale of Assets;-16.0;19.0;14.0;--;None;
Other Unusual Items Total;-117.0;-42.0;-129.0;-142.0;None;
Other Unusual Items;--;--;-124.0;-96.0;None;
EBT INCLUDING UNUSUAL ITEMS;1201.0;1395.0;1420.0;1567.0;None;
Income Tax Expense;223.0;318.0;247.0;359.0;None;
Minority Interest in Earnings;-27.0;-32.0;-27.0;-19.0;None;
Earnings from Continuing Operations;978.0;1077.0;1173.0;1208.0;None;
NET INCOME;951.0;1045.0;1146.0;1189.0;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;951.0;1045.0;1146.0;1189.0;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;951.0;1045.0;1146.0;1189.0;None;
