Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;177.2;170.4;145.6;209.4;None;
Trading Asset Securities;--;--;0.0;--;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;177.2;170.4;145.6;209.4;None;
Accounts Receivable;438.2;475.8;469.4;371.4;None;
Other Receivables;53.5;65.5;74.0;96.9;None;
TOTAL RECEIVABLES;491.7;541.3;543.4;468.3;None;
Inventory;8.2;9.2;9.0;21.0;None;
Prepaid Expenses;24.0;23.0;22.9;35.1;None;
Other Current Assets;10.1;13.6;13.0;11.3;None;
TOTAL CURRENT ASSETS;711.3;757.5;733.8;745.1;None;
Gross Property Plant and Equipment;250.6;213.6;211.4;206.8;None;
Accumulated Depreciation;-180.3;-154.9;-151.1;-154.0;None;
NET PROPERTY PLANT AND EQUIPMENT;70.4;58.6;60.2;52.9;None;
Goodwill;728.0;744.5;779.2;762.6;None;
Long-Term Investments;10.8;13.6;4.5;3.0;None;
Loans Receivable Long Term;0.3;2.1;8.5;3.6;None;
Deferred Tax Assets Long Term;14.1;27.3;117.4;95.5;None;
Deferred Charges Long Term;7.5;9.1;8.5;7.6;None;
Other Intangibles;59.5;62.0;94.3;91.9;None;
Other Long-Term Assets;50.0;62.6;2.4;4.6;None;
TOTAL ASSETS;1651.9;1737.3;1808.8;1766.8;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;145.7;152.2;148.8;171.2;None;
Accrued Expenses;259.0;259.9;269.6;259.6;None;
Short-Term Borrowings;4.9;4.0;1.3;1.9;None;
Current Portion of Long-Term Debt/Capital Lease;69.6;28.8;42.4;68.9;None;
Current Portion of Capital Lease Obligations;0.0;--;--;--;None;
Current Income Taxes Payable;42.5;55.0;41.1;41.3;None;
Other Current Liabilities Total;45.5;54.5;47.2;43.5;None;
Unearned Revenue Current;80.6;70.9;81.8;71.4;None;
TOTAL CURRENT LIABILITIES;647.7;625.2;632.1;657.7;None;
Long-Term Debt;204.4;266.4;248.8;364.3;None;
Minority Interest;1.9;1.9;5.8;9.9;None;
Pension & Other Post-Retirement Benefits;35.1;40.2;383.0;291.4;None;
Deferred Tax Liability Non-Current;17.8;20.9;1.0;1.6;None;
Other Non-Current Liabilities;25.8;18.1;33.4;59.1;None;
TOTAL LIABILITIES;930.7;970.9;1298.3;1374.1;None;
Common Stock;30.1;30.8;31.9;33.2;None;
Additional Paid in Capital;409.5;416.7;424.7;436.2;None;
Retained Earnings;43.5;55.0;41.0;8.9;None;
Treasury Stock;-35.8;-38.4;-35.4;-34.7;None;
Comprehensive Income and Other;272.0;300.4;42.6;-60.7;None;
TOTAL COMMON EQUITY;719.3;764.5;504.7;382.8;None;
TOTAL EQUITY;721.2;766.4;510.5;392.7;None;
TOTAL LIABILITIES AND EQUITY;1651.9;1737.3;1808.8;1766.8;None;
