Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;1692.7;1705.4;1827.2;1754.9;None;
TOTAL REVENUES;1692.7;1705.4;1827.2;1754.9;None;
Cost of Goods Sold;1311.4;1317.0;1412.9;1359.9;None;
GROSS PROFIT;381.3;388.5;414.3;395.1;None;
Selling General & Admin Expenses Total;248.7;228.6;262.4;262.6;None;
Depreciation & Amortization Total;31.8;28.5;38.1;35.8;None;
Other Operating Expenses;19.3;16.0;19.3;19.8;None;
OTHER OPERATING EXPENSES TOTAL;299.9;273.2;319.8;318.2;None;
OPERATING INCOME;81.4;115.3;94.5;76.9;None;
Interest Expense;-4.8;-8.3;-8.8;-12.4;None;
Interest and Investment Income;4.5;7.1;8.1;8.6;None;
NET INTEREST EXPENSE;-0.3;-1.2;-0.7;-3.9;None;
Income (Loss) on Equity Investments;1.6;1.5;0.1;0.2;None;
Currency Exchange Gains (Loss);9.6;-0.4;-3.6;-3.6;None;
Other Non-Operating Income (Expenses);-14.9;-3.3;-3.7;-6.0;None;
EBT EXCLUDING UNUSUAL ITEMS;77.4;111.9;86.6;63.6;None;
Merger & Restructuring Charges;-11.6;-21.0;-30.4;-35.2;None;
Impairment of Goodwill;--;-3.6;--;--;None;
Gain (Loss) on Sale of Investments;--;--;12.3;0.7;None;
Gain (Loss) on Sale of Assets;--;0.3;0.3;--;None;
Other Unusual Items Total;-3.4;-5.5;3.0;-0.9;None;
Legal Settlements;-2.4;-1.9;3.7;--;None;
Other Unusual Items;--;--;0.5;--;None;
EBT INCLUDING UNUSUAL ITEMS;62.3;82.1;71.8;28.2;None;
Income Tax Expense;18.3;21.0;13.7;15.5;None;
Minority Interest in Earnings;-0.5;-0.1;-2.2;-3.9;None;
Earnings from Continuing Operations;44.0;61.1;58.1;12.7;None;
EARNINGS FROM DISCOUNTINUED OPERATIONS;--;-6.0;-14.9;--;None;
NET INCOME;43.5;55.0;41.0;8.9;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;43.5;49.5;35.3;8.9;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;43.5;55.4;50.2;8.9;None;
