Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;373.6;371.3;311.0;360.1;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;373.6;371.3;311.0;360.1;None;
Accounts Receivable;341.4;349.5;397.7;403.7;None;
Other Receivables;67.0;106.6;118.6;107.3;None;
TOTAL RECEIVABLES;408.4;456.1;516.3;511.0;None;
Inventory;320.7;290.0;311.0;352.4;None;
Prepaid Expenses;12.1;11.2;13.5;14.6;None;
Other Current Assets;13.8;16.1;20.4;31.3;None;
TOTAL CURRENT ASSETS;1128.6;1144.7;1172.2;1269.4;None;
Gross Property Plant and Equipment;457.1;464.0;527.1;568.5;None;
Accumulated Depreciation;-266.1;-265.5;-296.4;-311.5;None;
NET PROPERTY PLANT AND EQUIPMENT;191.0;198.5;230.7;257.0;None;
Goodwill;299.7;311.6;333.0;343.5;None;
Long-Term Investments;80.2;38.3;41.2;41.3;None;
Loans Receivable Long Term;6.6;6.9;7.1;7.1;None;
Deferred Tax Assets Long Term;14.3;16.9;16.6;27.9;None;
Deferred Charges Long Term;183.7;200.7;222.5;246.0;None;
Other Intangibles;289.5;286.4;294.9;298.0;None;
TOTAL ASSETS;2193.6;2204.0;2318.2;2490.2;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;160.4;172.7;180.8;204.7;None;
Accrued Expenses;49.4;56.1;56.9;62.0;None;
Short-Term Borrowings;4.2;37.0;3.1;2.8;None;
Current Portion of Long-Term Debt/Capital Lease;254.0;162.6;208.8;177.6;None;
Current Portion of Capital Lease Obligations;0.2;0.1;0.2;0.2;None;
Current Income Taxes Payable;27.7;27.6;20.0;29.4;None;
Other Current Liabilities Total;154.1;133.5;159.2;189.1;None;
Unearned Revenue Current;25.7;25.6;34.9;34.3;None;
TOTAL CURRENT LIABILITIES;675.5;615.1;663.7;699.9;None;
Long-Term Debt;362.1;441.8;414.1;516.2;None;
Capital Leases;1.1;0.1;0.7;0.5;None;
Minority Interest;132.2;107.9;115.0;124.5;None;
Pension & Other Post-Retirement Benefits;21.3;22.8;23.6;22.1;None;
Deferred Tax Liability Non-Current;88.4;88.3;94.2;101.2;None;
TOTAL LIABILITIES;1148.4;1168.1;1196.3;1339.9;None;
Common Stock;262.6;262.6;262.6;288.8;None;
Additional Paid in Capital;350.5;350.5;350.5;350.5;None;
Retained Earnings;268.4;320.9;336.5;380.0;None;
Comprehensive Income and Other;31.5;-6.0;57.3;6.5;None;
TOTAL COMMON EQUITY;913.0;928.0;1006.9;1025.8;None;
TOTAL EQUITY;1045.2;1035.9;1121.9;1150.3;None;
TOTAL LIABILITIES AND EQUITY;2193.6;2204.0;2318.2;2490.2;None;
