Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;1063.8;1192.1;1338.0;1472.0;None;
TOTAL REVENUES;1063.8;1192.1;1338.0;1472.0;None;
Cost of Goods Sold;580.2;657.0;753.9;834.7;None;
GROSS PROFIT;483.6;535.1;584.1;637.3;None;
Selling General & Admin Expenses Total;275.7;304.4;322.4;349.7;None;
R&D Expenses;98.5;107.5;117.7;136.9;None;
Other Operating Expenses;-0.9;0.1;-2.3;-8.5;None;
OTHER OPERATING EXPENSES TOTAL;373.3;412.0;437.8;478.1;None;
OPERATING INCOME;110.3;123.1;146.3;159.2;None;
Interest Expense;-18.5;-22.1;-23.8;-22.0;None;
Interest and Investment Income;4.2;3.0;4.2;6.3;None;
NET INTEREST EXPENSE;-14.3;-19.1;-19.6;-15.7;None;
Income (Loss) on Equity Investments;0.5;0.6;1.8;1.7;None;
Currency Exchange Gains (Loss);3.7;-0.1;-9.0;-0.9;None;
Other Non-Operating Income (Expenses);-6.4;-3.9;-3.7;-8.9;None;
EBT EXCLUDING UNUSUAL ITEMS;93.8;100.6;115.8;135.4;None;
Merger & Restructuring Charges;-4.8;-2.3;-2.8;-1.9;None;
Impairment of Goodwill;0.7;--;--;-0.4;None;
Gain (Loss) on Sale of Investments;3.3;34.3;1.8;2.4;None;
Gain (Loss) on Sale of Assets;-3.2;5.0;4.8;0.1;None;
Other Unusual Items Total;-4.4;-1.6;-6.4;-5.3;None;
Legal Settlements;-1.9;-1.1;-4.5;-1.2;None;
EBT INCLUDING UNUSUAL ITEMS;85.4;136.0;113.2;130.3;None;
Income Tax Expense;27.8;38.7;26.1;23.3;None;
Minority Interest in Earnings;-6.0;-6.3;-6.5;-7.6;None;
Earnings from Continuing Operations;57.6;97.3;87.1;107.0;None;
EARNINGS FROM DISCOUNTINUED OPERATIONS;2.5;--;--;--;None;
NET INCOME;54.1;91.0;80.6;99.4;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;54.1;91.0;80.6;99.4;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;51.6;91.0;80.6;99.4;None;
