Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;843.8;1048.2;697.0;1053.7;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;843.8;1048.2;697.0;1053.7;None;
Accounts Receivable;159.0;175.7;207.1;193.6;None;
Other Receivables;70.6;95.2;117.4;121.5;None;
TOTAL RECEIVABLES;229.6;270.9;324.5;315.1;None;
Inventory;468.6;534.5;726.9;813.4;None;
Other Current Assets;21.8;17.7;54.4;67.0;None;
TOTAL CURRENT ASSETS;1563.8;1871.3;1802.8;2249.2;None;
Gross Property Plant and Equipment;1373.6;1545.7;1733.6;1820.8;None;
Accumulated Depreciation;-599.4;-676.3;-726.1;-795.7;None;
NET PROPERTY PLANT AND EQUIPMENT;774.2;869.4;1007.5;1025.1;None;
Goodwill;37.2;38.7;79.3;51.4;None;
Long-Term Investments;166.0;42.7;54.3;103.6;None;
Loans Receivable Long Term;1.5;1.3;18.0;18.4;None;
Deferred Tax Assets Long Term;178.1;194.2;217.8;242.5;None;
Other Intangibles;75.2;96.7;101.6;108.9;None;
Other Long-Term Assets;122.6;134.1;124.5;138.5;None;
TOTAL ASSETS;2918.6;3248.4;3405.8;3937.6;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;204.7;269.0;301.9;313.8;None;
Accrued Expenses;6.2;6.2;3.7;5.3;None;
Short-Term Borrowings;15.8;9.9;11.1;31.9;None;
Current Portion of Long-Term Debt/Capital Lease;10.2;10.6;3.6;0.1;None;
Current Income Taxes Payable;76.3;89.9;124.1;94.8;None;
Other Current Liabilities Total;311.4;389.7;419.5;434.1;None;
TOTAL CURRENT LIABILITIES;624.6;775.3;863.9;880.0;None;
Long-Term Debt;17.9;18.4;23.7;24.6;None;
Minority Interest;12.9;12.7;13.9;15.6;None;
Pension & Other Post-Retirement Benefits;56.3;60.8;66.5;83.2;None;
Deferred Tax Liability Non-Current;12.1;17.5;23.0;25.7;None;
Other Non-Current Liabilities;44.6;50.9;70.6;82.9;None;
TOTAL LIABILITIES;755.5;922.9;1047.7;1096.4;None;
Common Stock;53.8;53.8;53.8;53.8;None;
Additional Paid in Capital;49.6;49.6;49.6;49.6;None;
Retained Earnings;421.7;594.3;739.9;790.3;None;
Treasury Stock;-33.0;-304.1;-313.3;-313.9;None;
Comprehensive Income and Other;1658.1;1919.2;1814.2;2245.8;None;
TOTAL COMMON EQUITY;2150.2;2312.8;2344.2;2825.6;None;
TOTAL EQUITY;2163.1;2325.5;2358.1;2841.2;None;
TOTAL LIABILITIES AND EQUITY;2918.6;3248.4;3405.8;3937.6;None;
