Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;2400.8;2841.2;3484.1;3754.8;None;
TOTAL REVENUES;2400.8;2841.2;3484.1;3754.8;None;
Cost of Goods Sold;815.0;886.4;1110.8;1170.3;None;
GROSS PROFIT;1585.8;1954.8;2373.3;2584.5;None;
Selling General & Admin Expenses Total;802.2;945.7;1130.8;1215.2;None;
Other Operating Expenses;111.6;121.8;120.8;130.9;None;
OTHER OPERATING EXPENSES TOTAL;913.8;1067.5;1251.6;1346.1;None;
OPERATING INCOME;672.0;887.3;1121.7;1238.4;None;
Interest Expense;-0.3;-0.4;-1.5;-1.0;None;
Interest and Investment Income;5.1;10.9;11.3;6.2;None;
NET INTEREST EXPENSE;4.8;10.5;9.8;5.2;None;
Income (Loss) on Equity Investments;-3.1;-4.5;-0.4;2.0;None;
Other Non-Operating Income (Expenses);-17.3;2.1;-28.5;-28.9;None;
EBT EXCLUDING UNUSUAL ITEMS;656.4;895.4;1102.6;1216.7;None;
Impairment of Goodwill;--;--;--;-17.0;None;
Other Unusual Items Total;-3.8;-2.1;-3.0;-3.2;None;
EBT INCLUDING UNUSUAL ITEMS;652.6;893.3;1099.6;1196.5;None;
Income Tax Expense;220.9;289.8;349.1;397.6;None;
Minority Interest in Earnings;-10.0;-9.2;-10.6;-8.6;None;
Earnings from Continuing Operations;431.7;603.5;750.5;798.9;None;
NET INCOME;421.7;594.3;739.9;790.3;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;421.7;594.3;739.9;790.3;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;421.7;594.3;739.9;790.3;None;
