Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;10025.0;8672.0;11180.0;11661.0;None;
Short-Term Investments;56.0;88.0;171.0;135.0;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;10081.0;8760.0;11351.0;11796.0;None;
Accounts Receivable;1329.0;1275.0;1144.0;970.0;None;
Notes Receivable;485.0;329.0;622.0;707.0;None;
Other Receivables;1591.0;1642.0;1634.0;1895.0;None;
TOTAL RECEIVABLES;3405.0;3246.0;3400.0;3572.0;None;
Inventory;4567.0;4429.0;3864.0;3162.0;None;
Prepaid Expenses;183.0;182.0;194.0;224.0;None;
Finance Division Loans and Leases Current;19276.0;21900.0;23230.0;23650.0;None;
Finance Division Other Current Assets;81.0;310.0;332.0;201.0;None;
Other Current Assets;266.0;827.0;196.0;256.0;None;
TOTAL CURRENT ASSETS;37859.0;39654.0;42567.0;42861.0;None;
Gross Property Plant and Equipment;32246.0;33306.0;34617.0;34630.0;None;
Accumulated Depreciation;-20742.0;-21949.0;-23083.0;-23657.0;None;
NET PROPERTY PLANT AND EQUIPMENT;11504.0;11357.0;11534.0;10973.0;None;
Goodwill;250.0;246.0;243.0;222.0;None;
Long-Term Investments;15199.0;16767.0;16421.0;16126.0;None;
Finance Division Other Long-Term Assets;34.0;36.0;48.0;15.0;None;
Loans Receivable Long Term;89.0;89.0;68.0;190.0;None;
Deferred Tax Assets Long Term;705.0;566.0;416.0;396.0;None;
Deferred Charges Long Term;3278.0;3334.0;3033.0;2876.0;None;
Other Intangibles;149.0;138.0;206.0;184.0;None;
Other Long-Term Assets;1040.0;747.0;878.0;1149.0;None;
TOTAL ASSETS;70107.0;72934.0;75414.0;74992.0;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;6348.0;6202.0;6558.0;6171.0;None;
Accrued Expenses;2213.0;2418.0;2410.0;2393.0;None;
Short-Term Borrowings;416.0;200.0;158.0;63.0;None;
Current Portion of Long-Term Debt/Capital Lease;4130.0;3030.0;2936.0;2858.0;None;
Finance Division Other Current Liabilities;44.0;33.0;32.0;28.0;None;
Current Income Taxes Payable;106.0;126.0;131.0;126.0;None;
Other Current Liabilities Total;4093.0;4390.0;4707.0;4904.0;None;
Unearned Revenue Current;436.0;559.0;545.0;594.0;None;
TOTAL CURRENT LIABILITIES;37152.0;38954.0;40782.0;40894.0;None;
Long-Term Debt;6834.0;6066.0;6362.0;6840.0;None;
Minority Interest;522.0;481.0;255.0;377.0;None;
Finance Division Debt Non-Current;262.0;261.0;260.0;260.0;None;
Finance Division Other Non-Current Liabilities;116.0;169.0;234.0;267.0;None;
Unearned Revenue Non-Current;127.0;146.0;395.0;692.0;None;
Deferred Tax Liability Non-Current;125.0;135.0;123.0;121.0;None;
Other Non-Current Liabilities;2734.0;2636.0;2711.0;2704.0;None;
TOTAL LIABILITIES;47350.0;48367.0;50867.0;51778.0;None;
Common Stock;1127.0;1127.0;1127.0;1127.0;None;
Additional Paid in Capital;3785.0;3785.0;3785.0;3785.0;None;
Retained Earnings;3420.0;2092.0;1772.0;586.0;None;
Treasury Stock;-145.0;-201.0;-201.0;-187.0;None;
Comprehensive Income and Other;14048.0;17283.0;17809.0;17526.0;None;
TOTAL COMMON EQUITY;22235.0;24086.0;24292.0;22837.0;None;
TOTAL EQUITY;22757.0;24567.0;24547.0;23214.0;None;
TOTAL LIABILITIES AND EQUITY;70107.0;72934.0;75414.0;74992.0;None;
