Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;37654.0;42628.0;41270.0;40932.0;None;
TOTAL REVENUES;38971.0;42628.0;41270.0;40932.0;None;
Cost of Goods Sold;30620.0;34759.0;34092.0;33611.0;None;
GROSS PROFIT;7538.0;7869.0;7178.0;7321.0;None;
Selling General & Admin Expenses Total;4605.0;4751.0;4534.0;4267.0;None;
R&D Expenses;1834.0;2027.0;1915.0;1812.0;None;
Other Operating Expenses;0.0;0.0;236.0;514.0;None;
OTHER OPERATING EXPENSES TOTAL;6439.0;6778.0;6685.0;6593.0;None;
OPERATING INCOME;1099.0;1091.0;493.0;728.0;None;
Interest Expense;-500.0;-412.0;-451.0;-450.0;None;
Interest and Investment Income;146.0;223.0;220.0;220.0;None;
NET INTEREST EXPENSE;-354.0;-189.0;-231.0;-230.0;None;
Income (Loss) on Equity Investments;1289.0;1524.0;1504.0;1444.0;None;
Currency Exchange Gains (Loss);5.0;27.0;29.0;30.0;None;
Other Non-Operating Income (Expenses);-27.0;41.0;-18.0;-71.0;None;
EBT EXCLUDING UNUSUAL ITEMS;2012.0;2494.0;1777.0;1901.0;None;
Merger & Restructuring Charges;-449.0;71.0;-110.0;-423.0;None;
Gain (Loss) on Sale of Investments;2039.0;--;878.0;-11.0;None;
Gain (Loss) on Sale of Assets;112.0;133.0;18.0;153.0;None;
Other Unusual Items Total;-166.0;-51.0;-279.0;-492.0;None;
Other Unusual Items;-7.0;10.0;--;-4.0;None;
EBT INCLUDING UNUSUAL ITEMS;3548.0;2647.0;2284.0;1128.0;None;
Income Tax Expense;58.0;508.0;549.0;433.0;None;
Minority Interest in Earnings;-70.0;-47.0;37.0;-109.0;None;
Earnings from Continuing Operations;3490.0;2139.0;1735.0;695.0;None;
NET INCOME;3420.0;2092.0;1772.0;586.0;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;3420.0;2092.0;1772.0;586.0;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;3420.0;2092.0;1772.0;586.0;None;
