Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;181.6;231.8;272.2;345.3;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;181.6;231.8;272.2;345.3;None;
Accounts Receivable;155.4;204.4;226.0;229.1;None;
Notes Receivable;0.4;8.3;9.4;2.5;None;
Other Receivables;33.2;54.9;60.1;64.9;None;
TOTAL RECEIVABLES;189.0;267.6;295.5;296.5;None;
Inventory;77.7;130.7;149.5;156.8;None;
Prepaid Expenses;3.4;6.7;8.4;8.0;None;
Other Current Assets;22.4;8.5;--;12.0;None;
TOTAL CURRENT ASSETS;474.2;645.4;725.6;818.6;None;
Gross Property Plant and Equipment;--;--;1579.2;1658.2;None;
Accumulated Depreciation;--;--;-757.7;-787.4;None;
NET PROPERTY PLANT AND EQUIPMENT;554.9;694.7;821.5;870.8;None;
Goodwill;246.6;360.5;423.5;436.8;None;
Long-Term Investments;55.4;23.3;84.3;31.5;None;
Loans Receivable Long Term;1.1;1.3;1.3;1.7;None;
Deferred Tax Assets Long Term;6.0;7.0;4.2;5.7;None;
Other Intangibles;19.0;20.9;25.2;19.1;None;
Other Long-Term Assets;50.8;4.0;8.8;31.6;None;
TOTAL ASSETS;1407.9;1757.0;2094.4;2215.8;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;134.3;154.3;175.1;148.7;None;
Accrued Expenses;34.3;42.7;53.9;52.6;None;
Short-Term Borrowings;32.3;76.1;66.7;72.0;None;
Current Income Taxes Payable;4.1;5.4;4.8;4.7;None;
Other Current Liabilities Total;34.3;43.0;50.7;56.3;None;
Unearned Revenue Current;3.7;4.0;4.5;2.1;None;
TOTAL CURRENT LIABILITIES;294.9;423.2;464.2;633.8;None;
Long-Term Debt;247.2;309.9;486.3;245.7;None;
Minority Interest;17.3;18.4;22.2;24.7;None;
Unearned Revenue Non-Current;0.5;0.5;0.3;2.4;None;
Pension & Other Post-Retirement Benefits;13.5;13.5;15.5;11.1;None;
Deferred Tax Liability Non-Current;27.3;27.4;29.5;31.5;None;
Other Non-Current Liabilities;92.2;125.2;128.8;127.7;None;
TOTAL LIABILITIES;675.5;899.7;1124.5;1052.2;None;
Common Stock;70.3;76.0;81.1;93.2;None;
Additional Paid in Capital;403.5;477.7;542.4;716.2;None;
Retained Earnings;239.9;261.3;305.0;349.2;None;
Treasury Stock;-0.5;-0.5;-0.4;-1.3;None;
Comprehensive Income and Other;1.9;24.5;19.5;-18.4;None;
TOTAL COMMON EQUITY;715.1;838.9;947.6;1139.0;None;
TOTAL EQUITY;732.4;857.3;969.9;1163.7;None;
TOTAL LIABILITIES AND EQUITY;1407.9;1757.0;2094.4;2215.8;None;
