Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;1449.8;2007.9;2669.4;2765.0;None;
TOTAL REVENUES;1449.8;2007.9;2669.4;2765.0;None;
Cost of Goods Sold;1077.3;1515.6;2099.8;2168.2;None;
GROSS PROFIT;372.5;492.3;569.7;596.9;None;
Selling General & Admin Expenses Total;205.1;273.0;303.9;311.7;None;
Depreciation & Amortization Total;42.0;51.8;64.2;64.0;None;
Other Operating Expenses;1192.0;1658.7;2263.7;2330.1;None;
OTHER OPERATING EXPENSES TOTAL;1320.6;1835.8;2458.3;2534.5;None;
OPERATING INCOME;87.1;120.3;146.9;166.5;None;
Interest Expense;-8.4;-13.0;-14.4;-14.0;None;
Interest and Investment Income;1.4;0.5;1.1;1.4;None;
NET INTEREST EXPENSE;-7.0;-12.5;-13.4;-12.6;None;
Income (Loss) on Equity Investments;0.0;0.0;0.0;--;None;
Currency Exchange Gains (Loss);2.4;-3.1;-0.8;-4.9;None;
Other Non-Operating Income (Expenses);0.8;1.1;1.5;3.1;None;
Merger & Restructuring Charges;-1.3;-3.5;-1.0;-0.1;None;
Impairment of Goodwill;4.6;6.3;9.0;0.2;None;
Gain (Loss) on Sale of Investments;0.3;0.5;0.2;0.1;None;
Gain (Loss) on Sale of Assets;-0.8;1.2;0.8;0.6;None;
Other Unusual Items Total;-1.8;-2.2;-2.1;2.3;None;
Other Unusual Items;-1.8;-2.2;-2.1;2.3;None;
EBT INCLUDING UNUSUAL ITEMS;84.2;108.0;141.1;155.1;None;
Income Tax Expense;24.0;32.1;42.6;45.1;None;
Minority Interest in Earnings;-3.9;-4.1;-4.7;-5.3;None;
Earnings from Continuing Operations;60.3;75.9;98.5;110.0;None;
NET INCOME;56.4;71.8;93.8;104.7;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;56.4;71.8;93.8;104.7;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;56.4;71.8;93.8;104.7;None;
