Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;311.9;413.7;291.9;957.8;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;311.9;413.7;291.9;957.8;None;
Accounts Receivable;2022.0;2122.9;2123.9;2062.8;None;
Other Receivables;404.5;433.7;456.2;454.1;None;
TOTAL RECEIVABLES;2426.5;2556.6;2580.1;2516.9;None;
Inventory;1203.1;1240.8;1426.7;1389.5;None;
Prepaid Expenses;29.9;40.4;38.2;31.7;None;
Other Current Assets;24.8;5.8;29.3;3.8;None;
TOTAL CURRENT ASSETS;3996.2;4257.3;4366.2;4899.7;None;
Gross Property Plant and Equipment;869.0;906.5;962.4;926.2;None;
Accumulated Depreciation;-623.6;-644.8;-679.7;-648.1;None;
NET PROPERTY PLANT AND EQUIPMENT;245.4;261.7;282.7;278.1;None;
Goodwill;3931.2;4002.2;4369.2;4111.2;None;
Long-Term Investments;94.6;65.0;48.0;51.7;None;
Deferred Tax Assets Long Term;138.6;153.4;171.9;162.9;None;
Other Intangibles;934.4;935.7;1035.8;1038.3;None;
Other Long-Term Assets;46.8;43.9;42.3;--;None;
TOTAL ASSETS;9387.2;9719.2;10316.1;10541.9;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;1866.2;1903.3;1937.2;2009.9;None;
Accrued Expenses;422.2;460.5;454.2;410.6;None;
Current Portion of Long-Term Debt/Capital Lease;128.1;323.8;619.1;206.0;None;
Current Income Taxes Payable;39.8;56.0;42.6;37.2;None;
Other Current Liabilities Total;153.6;197.0;208.7;214.6;None;
Unearned Revenue Current;4.2;5.1;6.7;7.2;None;
TOTAL CURRENT LIABILITIES;2614.1;2945.7;3268.5;2885.5;None;
Long-Term Debt;2486.5;2193.5;2308.1;2932.8;None;
Minority Interest;9.3;11.5;8.3;10.1;None;
Pension & Other Post-Retirement Benefits;174.4;280.4;372.9;243.4;None;
Deferred Tax Liability Non-Current;144.5;111.3;152.3;172.1;None;
Other Non-Current Liabilities;133.3;146.4;96.7;83.4;None;
TOTAL LIABILITIES;5552.8;5677.3;6198.5;6317.2;None;
Common Stock;1301.0;1344.1;1359.6;1416.7;None;
Additional Paid in Capital;1383.7;1412.2;1418.3;1510.8;None;
Retained Earnings;1036.8;1188.0;1344.5;1375.3;None;
Comprehensive Income and Other;103.6;86.1;-13.1;-88.2;None;
TOTAL COMMON EQUITY;3825.1;4030.4;4109.3;4214.6;None;
TOTAL EQUITY;3834.4;4041.9;4117.6;4224.7;None;
TOTAL LIABILITIES AND EQUITY;9387.2;9719.2;10316.1;10541.9;None;
