Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;11960.1;12717.1;13449.2;13011.6;None;
TOTAL REVENUES;11960.1;12717.1;13449.2;13011.6;None;
Cost of Goods Sold;9014.5;9593.2;10136.1;9807.8;None;
GROSS PROFIT;2945.6;3123.9;3313.1;3203.8;None;
Selling General & Admin Expenses Total;2360.5;2421.9;2572.7;2534.3;None;
Other Operating Expenses;-8.9;--;13.6;8.2;None;
OTHER OPERATING EXPENSES TOTAL;2351.6;2421.9;2586.3;2542.5;None;
OPERATING INCOME;594.0;702.0;726.8;661.3;None;
Interest Expense;-189.8;-183.2;-178.8;-167.4;None;
Interest and Investment Income;2.6;4.3;2.3;2.5;None;
NET INTEREST EXPENSE;-187.2;-178.9;-176.5;-164.9;None;
Income (Loss) on Equity Investments;4.7;2.8;3.1;0.4;None;
Other Non-Operating Income (Expenses);-7.9;-7.2;-11.9;-12.1;None;
EBT EXCLUDING UNUSUAL ITEMS;403.6;518.7;541.5;484.7;None;
Merger & Restructuring Charges;-67.4;-44.4;-57.7;-66.1;None;
Impairment of Goodwill;-36.6;-59.5;-45.7;-67.3;None;
Gain (Loss) on Sale of Assets;-8.3;32.5;0.1;-1.7;None;
Other Unusual Items Total;-4.3;-42.0;12.1;-41.7;None;
Legal Settlements;--;2.1;7.8;-4.7;None;
Other Unusual Items;--;-9.5;3.4;-15.8;None;
EBT INCLUDING UNUSUAL ITEMS;287.0;405.3;450.3;307.9;None;
Income Tax Expense;57.8;89.3;131.7;96.9;None;
Minority Interest in Earnings;-0.7;-0.7;-0.5;-0.4;None;
Earnings from Continuing Operations;229.2;316.0;318.6;211.0;None;
NET INCOME;228.5;315.3;318.1;210.6;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;228.5;315.3;318.1;210.6;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;228.5;315.3;318.1;210.6;None;
