Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;2062.0;1431.0;2193.0;1672.0;None;
Short-Term Investments;110.0;101.0;--;--;None;
Trading Asset Securities;13.0;--;--;--;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;2185.0;1532.0;2193.0;1672.0;None;
Accounts Receivable;3905.0;4225.0;4252.0;4254.0;None;
Notes Receivable;--;--;176.0;198.0;None;
Other Receivables;408.0;641.0;848.0;866.0;None;
TOTAL RECEIVABLES;4313.0;4866.0;5276.0;5318.0;None;
Inventory;3508.0;3799.0;4131.0;4135.0;None;
Prepaid Expenses;48.0;53.0;67.0;73.0;None;
Other Current Assets;221.0;560.0;864.0;1165.0;None;
TOTAL CURRENT ASSETS;10275.0;10810.0;12531.0;12363.0;None;
Gross Property Plant and Equipment;5750.0;6434.0;6769.0;7020.0;None;
Accumulated Depreciation;-3497.0;-3948.0;-4165.0;-4280.0;None;
NET PROPERTY PLANT AND EQUIPMENT;2253.0;2486.0;2604.0;2740.0;None;
Goodwill;2298.0;3126.0;3078.0;3495.0;None;
Long-Term Investments;451.0;511.0;565.0;453.0;None;
Loans Receivable Long Term;--;--;72.0;76.0;None;
Deferred Tax Assets Long Term;194.0;251.0;243.0;205.0;None;
Deferred Charges Long Term;917.0;1138.0;1418.0;2057.0;None;
Other Intangibles;2213.0;2360.0;2454.0;2584.0;None;
Other Long-Term Assets;12.0;20.0;--;--;None;
TOTAL ASSETS;18613.0;20702.0;22965.0;23973.0;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;--;2015.0;2021.0;2151.0;None;
Accrued Expenses;935.0;1083.0;1271.0;1371.0;None;
Short-Term Borrowings;294.0;666.0;511.0;307.0;None;
Current Portion of Long-Term Debt/Capital Lease;274.0;332.0;405.0;1128.0;None;
Current Portion of Capital Lease Obligations;16.0;13.0;45.0;15.0;None;
Current Income Taxes Payable;72.0;92.0;156.0;202.0;None;
Other Current Liabilities Total;6741.0;5426.0;4979.0;5096.0;None;
Unearned Revenue Current;1227.0;1541.0;1799.0;1740.0;None;
TOTAL CURRENT LIABILITIES;9543.0;11155.0;11142.0;11995.0;None;
Long-Term Debt;2009.0;1971.0;2823.0;1895.0;None;
Capital Leases;175.0;163.0;118.0;106.0;None;
Minority Interest;175.0;154.0;163.0;178.0;None;
Deferred Tax Liability Non-Current;685.0;718.0;981.0;1293.0;None;
Other Non-Current Liabilities;1496.0;1573.0;1904.0;1870.0;None;
TOTAL LIABILITIES;13908.0;15580.0;16968.0;17159.0;None;
Common Stock;83.0;83.0;83.0;83.0;None;
Additional Paid in Capital;3360.0;3360.0;3360.0;3360.0;None;
Retained Earnings;1254.0;1457.0;1282.0;1386.0;None;
Treasury Stock;-247.0;-112.0;-18.0;-17.0;None;
Comprehensive Income and Other;80.0;180.0;1127.0;1824.0;None;
TOTAL COMMON EQUITY;4530.0;4968.0;5834.0;6636.0;None;
TOTAL EQUITY;4705.0;5122.0;5997.0;6814.0;None;
TOTAL LIABILITIES AND EQUITY;18613.0;20702.0;22965.0;23973.0;None;
