Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;11028.0;11658.0;13615.0;14490.0;None;
Other Revenues;191.0;200.0;191.0;226.0;None;
TOTAL REVENUES;11219.0;11858.0;13806.0;14716.0;None;
Cost of Goods Sold;6025.0;6403.0;7194.0;7770.0;None;
GROSS PROFIT;5194.0;5455.0;6612.0;6946.0;None;
Selling General & Admin Expenses Total;3476.0;3825.0;4240.0;4603.0;None;
Depreciation & Amortization Total;575.0;579.0;854.0;790.0;None;
Other Operating Expenses;176.0;188.0;283.0;263.0;None;
OTHER OPERATING EXPENSES TOTAL;4227.0;4592.0;5377.0;5656.0;None;
OPERATING INCOME;967.0;863.0;1235.0;1290.0;None;
Interest Expense;-79.0;-80.0;-97.0;-85.0;None;
Interest and Investment Income;27.0;32.0;45.0;46.0;None;
NET INTEREST EXPENSE;-52.0;-48.0;-52.0;-39.0;None;
Income (Loss) on Equity Investments;9.0;10.0;19.0;15.0;None;
Currency Exchange Gains (Loss);-531.0;19.0;709.0;551.0;None;
Other Non-Operating Income (Expenses);-114.0;-95.0;-98.0;-41.0;None;
EBT EXCLUDING UNUSUAL ITEMS;279.0;749.0;1813.0;1776.0;None;
Merger & Restructuring Charges;--;-37.0;-34.0;-10.0;None;
Gain (Loss) on Sale of Investments;-6.0;-9.0;-3.0;123.0;None;
Gain (Loss) on Sale of Assets;-23.0;-16.0;-14.0;-11.0;None;
Other Unusual Items Total;-6.0;8.0;-23.0;187.0;None;
Other Unusual Items;-13.0;-15.0;-15.0;212.0;None;
EBT INCLUDING UNUSUAL ITEMS;244.0;695.0;1739.0;2065.0;None;
Income Tax Expense;14.0;201.0;433.0;650.0;None;
Minority Interest in Earnings;-18.0;-19.0;-24.0;-29.0;None;
Earnings from Continuing Operations;230.0;494.0;1306.0;1415.0;None;
EARNINGS FROM DISCOUNTINUED OPERATIONS;-5.0;3.0;--;--;None;
NET INCOME;207.0;478.0;1282.0;1386.0;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;207.0;478.0;1282.0;1386.0;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;212.0;475.0;1282.0;1386.0;None;
