Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;529.9;577.4;598.0;624.2;None;
TOTAL REVENUES;529.9;577.4;598.0;624.2;None;
Cost of Goods Sold;358.1;396.5;422.0;453.4;None;
GROSS PROFIT;171.8;180.9;176.0;170.8;None;
Selling General & Admin Expenses Total;77.3;78.4;81.8;88.0;None;
R&D Expenses;20.8;21.6;24.4;28.3;None;
Other Operating Expenses;--;--;--;-0.1;None;
OTHER OPERATING EXPENSES TOTAL;98.1;100.0;106.2;116.2;None;
OPERATING INCOME;73.7;80.9;69.8;54.6;None;
Interest Expense;-14.6;-14.1;-9.2;-7.5;None;
Interest and Investment Income;0.7;1.9;1.2;0.7;None;
NET INTEREST EXPENSE;-13.9;-12.2;-8.0;-6.8;None;
Income (Loss) on Equity Investments;1.6;1.8;0.8;1.5;None;
Currency Exchange Gains (Loss);-2.5;3.9;-2.4;-1.2;None;
Other Non-Operating Income (Expenses);-0.4;-2.6;-2.2;-2.5;None;
EBT EXCLUDING UNUSUAL ITEMS;58.5;71.8;58.0;45.6;None;
Merger & Restructuring Charges;-0.7;--;-0.8;0.5;None;
Impairment of Goodwill;--;--;--;1.8;None;
Gain (Loss) on Sale of Assets;--;-0.4;0.3;0.2;None;
Other Unusual Items Total;1.1;--;--;4.0;None;
Insurance Settlements;1.1;--;--;4.0;None;
EBT INCLUDING UNUSUAL ITEMS;58.9;71.4;57.5;52.1;None;
Income Tax Expense;12.2;19.8;15.5;10.4;None;
Minority Interest in Earnings;-0.2;-0.4;-0.2;--;None;
Earnings from Continuing Operations;46.7;51.6;42.0;41.7;None;
EARNINGS FROM DISCOUNTINUED OPERATIONS;-10.1;23.6;-7.3;-5.2;None;
NET INCOME;36.4;74.8;34.5;36.5;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;36.4;74.8;34.5;36.5;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;46.5;51.2;41.8;41.7;None;
