Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;6465.0;4124.0;6381.0;8257.0;None;
Short-Term Investments;23.0;35.0;56.0;59.0;None;
Trading Asset Securities;1.0;90.0;40.0;24.0;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;6489.0;4249.0;6477.0;8340.0;None;
Accounts Receivable;6507.0;8042.0;7507.0;6831.0;None;
Other Receivables;1814.0;2145.0;2097.0;2023.0;None;
TOTAL RECEIVABLES;8321.0;10187.0;9604.0;8854.0;None;
Inventory;5020.0;6051.0;6379.0;6352.0;None;
Prepaid Expenses;186.0;256.0;258.0;264.0;None;
Other Current Assets;7063.0;115.0;183.0;116.0;None;
TOTAL CURRENT ASSETS;27079.0;20858.0;22901.0;23926.0;None;
Gross Property Plant and Equipment;14376.0;18210.0;19124.0;19561.0;None;
Accumulated Depreciation;-6221.0;-7460.0;-8546.0;-9379.0;None;
NET PROPERTY PLANT AND EQUIPMENT;8155.0;10750.0;10578.0;10182.0;None;
Goodwill;31932.0;38582.0;38073.0;37134.0;None;
Long-Term Investments;1740.0;2109.0;3056.0;4416.0;None;
Loans Receivable Long Term;483.0;573.0;695.0;676.0;None;
Deferred Tax Assets Long Term;3051.0;3637.0;4379.0;4154.0;None;
Deferred Charges Long Term;2153.0;4600.0;4083.0;1993.0;None;
Other Intangibles;10326.0;19039.0;16109.0;13402.0;None;
Other Long-Term Assets;345.0;524.0;535.0;182.0;None;
TOTAL ASSETS;85264.0;100672.0;100409.0;96065.0;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;2800.0;3183.0;3190.0;3003.0;None;
Accrued Expenses;1411.0;1957.0;1909.0;1839.0;None;
Short-Term Borrowings;1008.0;980.0;254.0;470.0;None;
Current Portion of Long-Term Debt/Capital Lease;560.0;1987.0;3560.0;3706.0;None;
Current Portion of Capital Lease Obligations;6.0;12.0;13.0;13.0;None;
Current Income Taxes Payable;785.0;1060.0;935.0;981.0;None;
Other Current Liabilities Total;5195.0;4417.0;4051.0;3959.0;None;
TOTAL CURRENT LIABILITIES;11759.0;13584.0;13899.0;13958.0;None;
Long-Term Debt;6676.0;12419.0;10654.0;10364.0;None;
Capital Leases;19.0;80.0;65.0;50.0;None;
Minority Interest;191.0;170.0;134.0;129.0;None;
Pension & Other Post-Retirement Benefits;4243.0;3836.0;5242.0;4025.0;None;
Deferred Tax Liability Non-Current;3808.0;6530.0;5932.0;5060.0;None;
Other Non-Current Liabilities;5471.0;7860.0;7151.0;5594.0;None;
TOTAL LIABILITIES;31976.0;44309.0;42943.0;39051.0;None;
Common Stock;2622.0;2682.0;2653.0;2649.0;None;
Additional Paid in Capital;50169.0;53439.0;52896.0;53053.0;None;
Treasury Stock;-371.0;-933.0;-207.0;-244.0;None;
Comprehensive Income and Other;677.0;1005.0;1990.0;1427.0;None;
TOTAL COMMON EQUITY;53097.0;56193.0;57332.0;56885.0;None;
TOTAL EQUITY;53288.0;56363.0;57466.0;57014.0;None;
TOTAL LIABILITIES AND EQUITY;85264.0;100672.0;100409.0;96065.0;None;
