Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;32367.0;33389.0;34947.0;32951.0;None;
Other Revenues;1669.0;1669.0;1010.0;355.0;None;
TOTAL REVENUES;34036.0;35058.0;35957.0;33306.0;None;
Cost of Goods Sold;9256.0;10389.0;11075.0;10990.0;None;
GROSS PROFIT;24780.0;24669.0;24882.0;22316.0;None;
Selling General & Admin Expenses Total;8149.0;8508.0;8929.0;8602.0;None;
R&D Expenses;4547.0;4788.0;4905.0;4770.0;None;
Depreciation & Amortization Total;3529.0;3314.0;3291.0;2914.0;None;
Other Operating Expenses;-80.0;403.0;-414.0;-163.0;None;
OTHER OPERATING EXPENSES TOTAL;16145.0;17013.0;16711.0;16123.0;None;
OPERATING INCOME;8635.0;7656.0;8171.0;6193.0;None;
Interest Expense;-385.0;-425.0;-417.0;-366.0;None;
Interest and Investment Income;61.0;100.0;68.0;49.0;None;
NET INTEREST EXPENSE;-324.0;-325.0;-349.0;-317.0;None;
Income (Loss) on Equity Investments;978.0;1070.0;393.0;35.0;None;
Currency Exchange Gains (Loss);-161.0;5.0;-58.0;-59.0;None;
Other Non-Operating Income (Expenses);-18.0;-256.0;-299.0;-233.0;None;
EBT EXCLUDING UNUSUAL ITEMS;9110.0;8150.0;7858.0;5619.0;None;
Merger & Restructuring Charges;-1526.0;-1855.0;-1164.0;-300.0;None;
Gain (Loss) on Sale of Investments;--;-33.0;7.0;42.0;None;
Gain (Loss) on Sale of Assets;--;-18.0;--;165.0;None;
Other Unusual Items Total;-433.0;83.0;-534.0;-888.0;None;
Legal Settlements;--;--;-225.0;--;None;
Other Unusual Items;--;225.0;-192.0;499.0;None;
EBT INCLUDING UNUSUAL ITEMS;7151.0;6327.0;6167.0;4638.0;None;
Income Tax Expense;1430.0;440.0;1109.0;763.0;None;
Minority Interest in Earnings;-254.0;-241.0;-169.0;-158.0;None;
Earnings from Continuing Operations;5721.0;5887.0;5058.0;3875.0;None;
NET INCOME;5467.0;5646.0;4889.0;3717.0;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;5467.0;5646.0;4889.0;3717.0;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;5467.0;5646.0;4889.0;3717.0;None;
