,ABBFR,BFR,EBFR,LEV,LNACTIF,MARGE,ROA,VMARGE
ACCOR,-0.09531889816810345,-0.2064814814814815,-0.10561492257343551,0.19788359788359788,8.930626469173578,-0.10603646663126216,-0.07923280423280424,-0.11081607364135246
ADP,-0.0005139792641559071,-0.0839719063402573,-0.08348688836066791,0.3712071960694455,9.146644162661053,0.12530530678706242,0.036086924085304124,-0.0034046332617866885
AIR FRANCE -KLM,-0.01468060323320395,-0.21145209580838323,-0.19644348658228172,0.21852544910179642,10.193167627650581,-0.04815440858524313,-0.04584580838323353,-0.016352844058335626
AIR LIQUIDE,-0.00024346444872621573,-0.03814675766553519,-0.03791193619354445,0.23173925385725655,10.12708300172911,0.1029118803684156,0.0636152459088492,0.0036349994825623398
AIRBUS GROUP,0.015028786330983562,-0.15391713073023525,-0.16835224402837667,0.03623495185679704,11.430858209281695,0.021193342776203966,0.012993779919887974,0.0038420679886685552
ALCATEL-LUCENT,-0.04523812175779701,-0.10841060222909057,-0.0571517470238992,0.18516437201461083,9.968994354738248,-0.13917918195030798,-0.0941743935562424,-0.18485708353519276
ALSTOM,0.01707507863175755,-0.12004380455438529,-0.13634121831722457,0.12442425999291397,10.343257464336283,0.03672117989364904,0.02357715721325732,0.013544697501755795
ALTEN,-0.0044216101289183355,0.1825795644891122,0.18670548905471285,0.0006442468754026542,6.6542813778600935,0.0652754590984975,0.10076021131297513,0.015525876460767947
ALTRAN TECHN.,0.007367370490761215,0.08416121476455864,0.07712409955385335,0.09635732170260884,7.121333225426646,0.0445772374476269,0.05241902915758017,0.07582938388625593
APERAM,-0.013331640629914416,0.06415667735944623,0.07811404753437436,0.10062468343744724,8.686598356276965,-0.02109865044668314,-0.01874050312341719,-0.009693974529557118
ARCELORMITTAL,-0.04371402556139075,0.03750065790627906,0.08416006347729316,0.18871383708486114,11.643936183363088,-0.039803830762471355,-0.029404024632011087,-0.06854048662320544
AREVA,-0.018459007501034755,-0.12989921612541994,-0.11145379228052096,0.17801951687729964,10.349934642365913,-0.01114112086428089,-0.003167493201087826,0.2705379248255683
ARKEMA,0.02169106895367909,0.1685616314744631,0.14768872411820666,0.19274499187872227,8.61993026886735,0.03440187646598905,0.039704024544306084,0.037372947615324476
