Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;1007.0;1281.0;1466.0;1514.0;None;
Trading Asset Securities;40.0;127.0;216.0;369.0;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;1306.0;3182.0;2951.0;2489.0;None;
Other Receivables;3564.0;4131.0;4470.0;4412.0;None;
TOTAL RECEIVABLES;3564.0;4131.0;4374.0;4308.0;None;
Other Current Assets;7575.0;8184.0;8295.0;8110.0;None;
TOTAL CURRENT ASSETS;13690.0;16923.0;17116.0;16253.0;None;
Gross Property Plant and Equipment;146.0;611.0;612.0;633.0;None;
Accumulated Depreciation;-94.0;-96.0;-72.0;-89.0;None;
NET PROPERTY PLANT AND EQUIPMENT;52.0;515.0;540.0;544.0;None;
Goodwill;788.0;788.0;788.0;788.0;None;
Deferred Tax Assets Long Term;475.0;653.0;689.0;813.0;None;
Other Intangibles;95.0;112.0;122.0;126.0;None;
Other Long-Term Assets;641.0;890.0;847.0;1051.0;None;
TOTAL ASSETS;28722.0;31319.0;32676.0;34161.0;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Current Portion of Capital Lease Obligations;2.0;7.0;--;--;None;
Current Income Taxes Payable;92.0;122.0;111.0;194.0;None;
Other Current Liabilities Total;6.0;28.0;3.0;11.0;None;
TOTAL CURRENT LIABILITIES;15394.0;16902.0;17496.0;17589.0;None;
Long-Term Debt;661.0;1401.0;1617.0;1876.0;None;
Capital Leases;--;3.0;--;--;None;
Minority Interest;7.0;7.0;7.0;40.0;None;
Deferred Tax Liability Non-Current;192.0;254.0;331.0;366.0;None;
Other Non-Current Liabilities;473.0;819.0;792.0;1106.0;None;
TOTAL LIABILITIES;24370.0;26909.0;27869.0;29181.0;None;
Common Stock;1479.0;1513.0;1515.0;1518.0;None;
Additional Paid in Capital;796.0;835.0;840.0;842.0;None;
Retained Earnings;418.0;330.0;418.0;549.0;None;
Treasury Stock;-103.0;-121.0;-163.0;-142.0;None;
Comprehensive Income and Other;1755.0;1846.0;2190.0;2173.0;None;
TOTAL COMMON EQUITY;4345.0;4403.0;4800.0;4940.0;None;
TOTAL EQUITY;4352.0;4410.0;4807.0;4980.0;None;
TOTAL LIABILITIES AND EQUITY;28722.0;31319.0;32676.0;34161.0;None;
